,stab_1,stab_1,Data,Data,Data,num
,0,1,0,1,2,simulation num
0,0,0,0,0,0,44273
1,0,1,0,0,0,1086
2,0,0,1,0,0,496
3,1,1,0,1,0,252
4,0,0,0,0,1,1516
5,0,1,0,0,1,766
6,1,0,0,1,0,97
7,0,1,0,1,1,134
8,0,0,0,1,0,352
9,1,1,0,0,0,13
10,1,0,0,0,1,15
11,1,0,0,0,0,341
12,1,0,1,0,0,409
13,0,1,0,1,0,66
14,1,0,0,1,1,8
15,1,0,1,0,1,15
16,1,1,1,1,0,7
17,0,0,1,0,1,25
18,0,1,1,0,0,20
19,1,1,0,0,1,23
20,1,1,0,1,1,27
21,0,0,1,1,0,8
22,1,1,1,0,1,6
23,1,0,1,1,0,7
24,0,1,1,1,0,4
25,1,1,1,0,0,7
26,0,0,0,1,1,11
27,0,1,1,0,1,12
28,0,1,1,1,1,4
