,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,num
,0,1,2,3,4,5,0,1,2,simulation num
0,0,0,0,0,0,0,1,1,1,35557
1,0,0,0,1,0,0,0,1,1,26
2,1,0,0,0,0,0,1,1,1,963
3,0,0,0,1,1,0,1,1,1,2147
4,0,0,0,0,1,0,1,1,1,1009
5,0,0,1,0,0,0,1,1,1,1035
6,0,1,0,0,1,0,1,0,1,422
7,0,1,0,0,0,0,0,1,1,580
8,0,0,0,0,0,0,1,1,0,953
9,1,0,0,0,0,0,0,1,1,18
10,0,0,1,1,0,0,1,1,1,43
11,0,0,0,1,0,0,1,1,1,1537
12,0,1,0,0,0,0,1,1,1,940
13,0,0,0,0,1,1,1,1,1,210
14,0,1,1,1,1,0,1,1,1,13
15,1,1,0,0,0,0,1,1,1,280
16,0,0,0,0,0,1,1,1,1,373
17,0,0,0,0,1,0,1,1,0,745
18,0,1,0,1,1,0,1,1,1,67
19,0,0,0,0,0,0,1,0,1,410
20,1,0,1,0,0,0,1,1,1,132
21,0,1,0,0,0,1,1,0,1,7
22,0,0,0,0,0,0,0,1,1,509
23,0,0,0,1,1,1,1,1,0,6
24,0,1,0,0,0,0,1,0,1,77
25,0,0,1,0,0,0,1,0,0,2
26,0,1,0,1,0,0,1,1,1,39
27,0,0,1,0,0,1,1,1,1,14
28,0,0,0,1,1,1,1,1,1,83
29,0,0,0,1,0,0,1,1,0,79
30,0,1,0,0,0,0,0,1,0,20
31,0,0,1,0,0,0,1,0,1,17
32,0,0,1,1,1,1,1,1,1,3
33,0,1,1,0,0,0,1,1,1,215
34,1,0,0,0,1,0,1,1,1,27
35,1,0,1,1,0,0,1,1,1,13
36,0,0,0,1,0,1,1,1,1,63
37,0,1,0,0,0,0,1,0,0,13
38,0,0,1,1,1,0,1,1,1,51
39,0,0,0,0,0,0,0,1,0,19
40,1,1,1,0,0,0,1,1,1,75
41,0,1,0,0,1,0,1,1,0,23
42,0,1,0,0,1,0,0,1,1,17
43,0,1,0,1,1,1,1,1,1,7
44,1,0,0,1,0,0,1,1,1,31
45,1,1,0,1,1,0,1,1,1,19
46,0,0,0,1,1,0,0,1,1,29
47,1,1,0,0,1,0,1,1,1,13
48,0,1,1,0,0,0,0,1,1,26
49,0,0,0,1,1,0,1,1,0,95
50,0,1,0,0,1,0,1,1,1,93
51,0,0,0,0,0,0,1,0,0,9
52,0,1,0,1,1,0,1,0,1,56
53,0,0,1,0,0,0,1,1,0,26
54,0,1,1,0,1,0,1,1,1,4
55,0,0,0,0,0,1,1,1,0,13
56,0,0,0,0,0,1,0,1,1,5
57,0,0,1,0,0,0,0,1,1,19
58,1,0,1,0,0,0,1,0,1,1
59,1,1,0,0,0,0,0,1,1,35
60,1,1,0,0,1,0,1,1,0,7
61,1,1,0,1,0,0,1,1,1,18
62,0,1,0,1,0,1,1,0,1,1
63,0,1,1,1,0,0,1,1,1,8
64,1,0,0,0,1,0,1,1,0,18
65,0,1,0,0,0,0,0,0,1,4
66,0,0,0,0,1,0,0,1,1,16
67,1,1,1,1,0,0,1,1,1,4
68,0,0,0,0,1,1,1,0,1,3
69,1,0,0,0,1,1,1,1,1,6
70,0,1,0,0,0,0,1,1,0,23
71,0,1,0,1,1,0,0,1,1,27
72,1,0,1,0,1,0,1,1,1,6
73,0,0,1,0,1,0,1,1,0,20
74,0,0,0,1,1,0,1,0,1,38
75,0,1,1,0,0,0,1,0,1,7
76,1,1,0,0,1,0,1,0,1,13
77,0,1,0,1,0,0,1,0,1,10
78,1,1,0,1,0,0,0,1,1,1
79,1,0,0,1,1,0,1,1,1,48
80,0,0,0,0,1,0,1,0,0,7
81,0,0,1,0,1,0,1,1,1,27
82,1,0,0,0,0,0,1,0,1,5
83,0,0,0,0,0,1,1,0,1,5
84,0,0,0,0,0,0,0,0,1,2
85,0,0,1,0,1,0,1,0,1,12
86,1,0,0,0,0,1,1,1,1,6
87,1,0,0,0,0,0,1,1,0,27
88,1,1,0,0,0,0,1,1,0,9
89,1,0,1,0,0,1,1,1,1,3
90,0,0,0,0,1,1,1,1,0,12
91,0,1,1,0,0,0,1,1,0,7
92,0,1,1,1,1,0,1,0,1,4
93,0,1,1,0,1,0,1,1,0,5
94,0,0,1,0,1,0,0,1,1,1
95,0,0,1,1,0,0,0,1,1,1
96,0,0,0,0,1,0,0,1,0,10
97,1,1,1,0,0,0,0,1,1,3
98,0,1,0,0,0,1,1,1,1,13
99,1,1,1,0,0,0,1,1,0,2
100,0,1,0,1,0,0,0,1,1,12
101,0,0,0,0,1,0,1,0,1,28
102,1,0,0,1,1,0,1,1,0,2
103,0,1,1,0,1,0,1,0,1,7
104,0,1,0,1,0,0,0,1,0,1
105,0,0,1,1,1,0,0,1,1,1
106,0,0,0,1,0,0,1,0,1,28
107,0,1,0,1,1,1,0,1,1,3
108,1,0,0,1,0,0,1,0,1,2
109,0,0,1,1,0,0,1,0,0,1
110,0,1,0,0,1,0,0,1,0,5
111,1,0,1,1,1,0,1,0,1,1
112,0,0,0,1,0,1,1,0,1,2
113,1,1,1,0,1,0,1,1,0,2
114,0,0,0,1,0,0,0,1,0,2
115,0,0,0,1,0,1,1,1,0,2
116,0,1,1,0,1,0,0,1,1,2
117,0,1,0,1,1,0,1,0,0,4
118,1,0,0,1,1,0,0,1,1,1
