,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,num
,0,1,2,3,4,5,6,7,8,9,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,0,1,1,1,13960
1,0,0,0,0,0,0,1,1,0,0,1,1,0,17
2,0,0,1,0,0,0,0,1,0,0,1,0,1,1279
3,0,0,0,0,0,0,0,0,1,0,1,1,1,1109
4,0,1,0,0,0,0,0,0,0,0,1,1,1,704
5,0,0,1,0,0,0,0,0,1,1,1,0,1,51
6,0,0,1,0,1,0,0,1,1,1,1,1,1,12
7,0,0,1,0,1,0,0,0,0,0,1,0,1,136
8,0,0,0,0,0,0,1,0,0,0,1,1,1,426
9,0,0,0,0,1,0,0,0,0,0,1,1,1,610
10,0,0,0,0,0,0,0,0,0,0,0,1,1,841
11,0,0,0,0,0,0,0,0,0,0,1,1,0,335
12,0,0,0,0,0,0,0,1,1,0,1,1,1,1218
13,0,0,0,0,0,0,0,0,0,0,1,0,1,1958
14,0,0,0,0,0,0,0,1,0,0,1,1,0,325
15,0,0,0,0,0,0,0,0,1,0,1,0,1,191
16,1,1,0,1,0,0,0,0,0,0,1,1,1,67
17,0,0,0,0,0,0,0,0,0,1,1,1,1,790
18,0,1,0,0,0,0,0,1,1,0,1,1,1,57
19,0,0,0,0,0,1,0,1,1,0,1,1,1,21
20,0,0,0,0,0,0,0,1,0,0,1,1,1,1164
21,1,1,1,1,0,0,0,1,0,0,1,1,1,7
22,0,0,0,0,0,1,0,0,0,0,0,1,1,9
23,0,1,1,0,0,0,0,0,1,0,0,1,1,14
24,0,0,1,0,0,0,0,0,0,0,1,1,1,1364
25,0,0,1,0,0,0,0,0,0,0,1,0,1,461
26,0,0,0,0,0,1,0,1,0,0,1,1,1,57
27,0,0,1,0,0,0,0,0,0,0,0,1,1,1619
28,0,0,0,1,1,0,0,0,0,0,1,1,1,379
29,0,0,1,0,0,0,0,1,1,0,1,1,1,135
30,1,1,0,0,0,0,0,1,0,0,1,0,1,16
31,1,0,0,0,0,0,0,0,0,0,1,0,1,202
32,1,0,0,0,0,0,0,0,0,0,0,1,1,119
33,1,0,1,0,0,0,0,1,0,0,1,0,1,125
34,0,0,1,0,0,0,0,1,1,0,1,0,1,171
35,1,0,1,1,1,0,0,0,0,0,0,1,1,12
36,0,0,0,0,1,0,0,0,0,0,1,0,1,370
37,1,0,0,0,0,0,0,1,0,0,1,1,1,150
38,0,0,0,0,0,0,1,1,1,0,1,0,1,78
39,0,0,0,0,0,0,0,1,1,0,1,0,1,202
40,1,0,1,0,0,0,0,0,0,1,1,0,1,6
41,1,1,1,1,0,0,0,0,0,0,1,1,1,35
42,0,0,0,1,1,0,0,0,0,0,1,0,1,85
43,1,0,0,0,0,0,0,1,1,0,1,1,1,133
44,0,0,1,0,1,0,0,0,0,0,0,1,1,80
45,1,0,1,0,0,0,0,0,0,0,1,1,1,213
46,0,0,1,0,0,0,0,1,0,0,0,1,1,138
47,0,1,0,1,0,0,0,0,0,0,1,1,1,167
48,1,0,0,0,0,0,0,0,0,0,1,1,1,1292
49,0,0,0,0,0,1,1,1,0,0,1,1,1,41
50,0,0,1,0,0,0,1,0,1,0,1,1,1,17
51,0,0,1,1,0,0,0,0,0,0,1,1,1,139
52,0,0,0,0,0,0,0,1,0,0,1,0,1,313
53,0,0,0,0,0,0,0,1,1,1,1,1,1,511
54,1,0,0,0,0,0,0,0,0,0,1,1,0,31
55,0,0,0,1,0,0,0,0,0,0,1,1,1,448
56,0,0,0,0,1,0,0,1,0,0,0,1,1,8
57,0,0,0,0,0,0,1,0,1,0,1,1,1,168
58,0,0,1,1,0,0,0,1,0,0,1,0,1,60
59,0,0,0,0,0,0,0,1,0,0,0,1,1,94
60,0,0,0,0,0,0,0,0,0,1,1,0,1,122
61,0,0,0,0,1,0,0,0,1,0,0,0,1,3
62,0,0,0,0,0,0,1,1,0,0,1,1,1,116
63,0,1,0,0,0,0,0,0,0,0,0,1,1,60
64,1,1,1,1,0,0,0,0,1,0,1,1,1,4
65,0,0,0,0,0,0,0,1,1,0,1,1,0,58
66,0,0,1,0,0,0,0,1,1,0,1,1,0,4
67,0,1,0,1,0,0,0,0,0,0,1,0,1,29
68,0,0,0,0,0,0,0,0,1,0,0,1,1,62
69,1,0,0,0,0,0,0,1,1,0,0,1,1,12
70,0,0,0,0,0,1,0,0,1,0,1,0,1,8
71,0,1,0,0,0,0,0,1,0,0,1,1,1,71
72,0,0,1,0,0,0,0,0,1,0,0,1,1,132
73,0,0,1,0,0,0,0,1,1,0,0,1,1,143
74,0,0,0,0,0,0,0,0,0,0,0,0,1,144
75,1,0,0,0,1,0,0,0,0,1,1,0,1,4
76,0,0,1,0,0,0,0,0,1,0,0,0,1,33
77,0,0,1,1,0,0,0,0,0,0,0,1,1,73
78,0,0,0,0,1,0,1,0,1,0,1,1,1,6
79,0,0,0,0,0,1,1,1,0,0,0,0,0,1
80,0,0,0,1,0,0,0,1,0,0,0,0,1,6
81,1,0,1,1,0,0,0,1,0,0,1,0,1,7
82,0,0,1,0,0,0,0,0,0,1,0,1,1,93
83,0,0,0,0,0,0,0,0,1,1,1,1,1,277
84,0,0,0,0,1,0,0,0,0,0,0,1,1,56
85,1,0,0,1,0,0,0,0,0,0,1,1,1,54
86,0,0,0,0,0,0,0,1,0,0,0,0,1,163
87,1,1,0,0,0,0,0,1,1,0,1,1,1,22
88,1,0,1,0,1,0,0,1,0,0,1,1,1,7
89,0,0,0,0,0,0,1,1,1,0,1,1,1,561
90,0,0,0,0,1,0,0,1,1,1,1,0,1,9
91,0,1,0,0,0,0,0,1,0,0,1,0,1,37
92,0,1,1,1,0,0,0,0,0,0,1,1,1,129
93,1,0,1,0,0,0,0,1,0,0,0,0,1,15
94,1,0,0,0,0,0,0,1,0,0,1,0,1,35
95,0,0,0,0,0,0,1,1,0,0,0,1,1,8
96,0,1,1,0,0,0,0,1,0,0,1,0,1,67
97,1,1,1,0,0,0,0,0,0,0,1,1,1,111
98,0,1,1,0,0,0,0,0,0,0,0,1,1,154
99,0,0,0,0,1,0,0,0,0,0,1,0,0,13
100,1,0,1,0,0,0,0,0,0,0,0,1,1,192
101,0,0,0,0,0,0,0,1,1,1,1,0,1,86
102,0,0,1,0,0,0,0,1,0,0,1,1,1,307
103,1,0,0,0,0,0,0,0,0,1,1,1,1,84
104,1,0,1,0,0,0,0,0,1,1,0,1,1,7
105,0,0,0,0,0,0,0,0,0,0,1,0,0,49
106,1,0,0,0,0,0,0,0,1,0,1,1,1,97
107,0,0,1,0,0,0,0,1,0,1,1,0,1,77
108,1,0,0,0,0,0,1,0,0,0,1,1,1,55
109,0,0,0,0,0,0,0,0,0,0,0,1,0,26
110,0,0,1,1,1,0,0,0,0,0,1,1,1,270
111,0,0,0,0,0,0,1,0,1,0,1,0,1,33
112,0,0,1,0,0,1,0,1,0,0,0,1,1,11
113,0,0,0,0,0,0,0,1,0,0,0,1,0,18
114,0,0,0,0,0,0,0,1,0,0,1,0,0,54
115,1,0,0,0,0,0,0,1,1,0,1,0,1,18
116,0,0,0,0,0,1,0,0,0,0,1,1,1,224
117,0,0,1,0,0,0,0,1,1,0,0,0,1,35
118,0,0,0,1,1,0,0,0,0,0,0,1,1,42
119,0,0,0,0,1,1,0,0,0,0,1,1,1,22
120,0,0,1,0,0,0,0,0,0,0,0,0,1,244
121,0,0,1,0,0,0,0,1,1,1,0,1,1,59
122,0,0,0,0,0,0,0,1,0,0,0,0,0,8
123,1,0,0,0,0,0,0,1,0,0,1,1,0,30
124,0,0,0,0,1,0,0,0,0,1,1,1,1,39
125,0,0,1,0,0,0,0,1,0,1,1,1,1,33
126,0,0,0,0,1,0,0,1,0,0,1,1,1,59
127,1,0,0,0,1,0,0,0,0,0,1,0,1,38
128,0,0,0,1,0,0,0,1,1,0,1,1,1,46
129,0,0,0,0,1,0,1,1,1,0,1,0,1,13
130,0,1,0,0,0,0,0,0,0,0,1,0,1,127
131,0,0,1,0,1,0,0,0,1,0,1,1,1,25
132,0,1,0,0,0,0,1,1,1,0,1,1,1,26
133,0,0,1,0,0,0,0,1,0,1,0,1,1,21
134,0,0,0,1,0,0,0,0,0,0,1,0,1,87
135,0,0,0,0,0,0,1,1,0,1,1,1,1,37
136,1,0,0,0,0,0,1,1,1,0,0,1,1,7
137,0,1,1,0,0,0,0,0,0,0,0,0,1,24
138,0,0,1,0,0,0,0,0,1,0,1,0,1,133
139,0,0,0,0,1,0,1,1,0,0,1,0,1,5
140,0,0,0,0,1,0,0,0,1,0,1,1,1,45
