,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,num
,0,1,2,3,4,5,6,7,8,9,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,1,0,0,1,0,94
1,0,0,1,0,0,0,0,0,0,0,1,0,0,2264
2,0,0,0,0,0,0,0,0,0,0,0,0,0,14177
3,0,0,1,0,1,0,0,0,0,0,0,0,0,155
4,0,0,0,0,0,0,0,0,0,0,0,1,0,1173
5,0,0,1,0,1,0,0,1,0,0,0,1,0,164
6,1,0,0,0,1,0,0,0,0,1,0,0,0,6
7,0,0,0,0,0,0,0,0,0,0,1,0,0,1495
8,0,0,0,0,1,0,0,1,0,0,0,0,1,20
9,0,0,1,0,0,0,0,0,0,0,0,1,0,251
10,0,0,0,0,1,0,0,0,0,0,0,1,0,197
11,0,0,0,0,0,0,0,0,1,0,0,0,0,1357
12,1,0,0,0,0,0,0,1,0,0,0,1,0,22
13,0,0,0,0,0,0,0,1,1,1,0,0,0,261
14,0,0,0,0,0,0,0,1,0,0,0,0,0,1496
15,1,0,0,0,0,0,0,0,1,1,0,0,0,139
16,1,0,1,0,0,0,0,0,1,0,0,0,0,11
17,0,0,0,0,0,0,1,0,1,1,0,0,0,49
18,1,1,0,0,0,0,0,0,0,0,0,0,0,297
19,1,0,0,0,0,0,0,0,0,0,0,1,0,99
20,0,0,0,0,1,0,0,0,0,0,1,1,0,36
21,0,0,0,0,1,0,0,0,0,0,0,0,0,788
22,0,0,1,0,0,0,0,1,1,0,1,1,0,6
23,0,0,0,1,0,0,0,0,0,0,0,0,0,570
24,0,0,0,0,0,0,0,0,0,1,0,0,0,847
25,0,0,0,0,0,0,0,0,1,1,0,0,0,1140
26,0,1,1,1,0,0,0,0,0,0,0,0,0,151
27,0,0,1,0,0,0,0,1,0,0,1,0,0,243
28,1,0,1,0,0,0,0,0,0,0,1,0,0,254
29,0,0,0,0,0,0,0,1,1,0,0,0,0,215
30,1,0,0,0,1,0,0,0,0,0,0,0,0,74
31,0,0,0,0,0,0,1,1,0,0,0,0,0,112
32,1,0,0,0,0,0,0,1,0,0,0,0,0,162
33,0,0,1,0,0,0,1,0,1,0,0,0,0,7
34,0,0,1,0,0,0,0,0,0,1,1,0,0,117
35,0,1,1,0,1,0,0,0,0,0,0,0,0,29
36,1,1,0,0,0,0,0,0,0,1,0,0,0,13
37,0,0,0,0,0,0,1,1,1,0,0,0,0,57
38,0,0,1,1,1,0,0,0,0,0,0,0,0,350
39,0,0,1,0,0,0,0,0,0,0,0,0,0,1477
40,0,1,0,0,0,0,0,0,0,0,0,1,0,91
41,0,1,0,0,0,0,0,1,0,0,0,1,0,23
42,0,0,0,0,1,0,0,1,1,0,0,0,1,4
43,1,1,0,1,0,0,0,0,1,0,0,1,0,1
44,1,1,1,0,0,0,0,1,0,0,1,0,0,4
45,0,1,0,0,0,0,0,0,0,0,0,0,0,1064
46,0,0,1,0,0,0,1,1,1,0,1,0,0,10
47,0,0,1,0,0,0,0,0,1,1,1,0,0,180
48,0,0,1,0,0,1,0,0,0,0,0,0,0,21
49,1,1,1,1,1,0,0,0,0,1,1,0,0,2
50,0,0,0,0,0,0,1,0,0,0,0,0,0,485
51,0,0,0,0,0,0,0,0,1,1,1,0,0,141
52,0,1,0,0,1,0,0,0,0,0,0,0,0,66
53,0,0,1,0,1,0,0,0,0,0,1,0,0,134
54,0,0,1,0,0,0,0,1,0,1,1,0,0,41
55,0,0,0,0,0,1,1,1,0,0,1,0,0,3
56,1,0,0,0,0,0,0,0,0,0,0,0,0,1508
57,1,0,0,0,0,0,0,0,1,0,0,0,0,157
58,0,1,0,1,1,0,0,0,0,0,0,0,0,40
59,0,0,1,0,0,0,0,0,0,0,0,0,1,20
60,0,0,0,0,0,0,0,0,1,1,1,1,0,7
61,0,0,0,0,0,0,0,1,1,0,1,0,0,28
