,stab_1,stab_1,stab_2,stab_2,Data,Data,Data,num
,0,1,0,1,0,1,2,simulation num
0,0,0,0,0,0,0,0,41876
1,1,0,0,0,0,0,0,226
2,0,0,0,1,0,0,0,808
3,1,1,1,1,0,1,0,243
4,0,1,0,1,0,0,1,529
5,0,0,0,0,0,0,1,888
6,0,0,1,0,0,0,0,296
7,0,1,0,0,0,0,0,1200
8,1,1,0,0,0,1,0,286
9,1,0,0,0,1,0,0,460
10,0,0,0,0,0,1,0,319
11,1,1,0,1,0,1,0,74
12,0,1,0,0,0,0,1,855
13,1,1,1,0,0,0,0,4
14,0,1,0,1,0,0,0,248
15,0,0,0,0,1,0,0,403
16,0,1,0,1,0,1,0,48
17,1,0,1,0,1,0,0,378
18,1,0,0,0,0,1,0,60
19,0,0,0,1,0,0,1,119
20,1,1,0,1,0,0,0,62
21,1,0,1,1,0,1,0,14
22,1,0,1,1,1,0,0,7
23,1,1,0,0,1,0,0,12
24,0,1,0,1,0,1,1,24
25,1,1,0,1,0,0,1,30
26,1,1,0,0,1,0,1,13
27,1,1,1,0,0,1,0,75
28,0,1,0,0,1,1,0,7
29,0,0,1,0,1,0,0,15
30,1,1,0,1,0,1,1,23
31,0,1,0,0,0,1,0,43
32,1,1,1,1,0,0,1,5
33,0,1,1,0,1,1,0,3
34,0,1,1,0,0,0,0,8
35,0,1,1,1,0,1,1,7
36,1,0,1,0,0,0,0,11
37,0,1,1,1,0,1,0,15
38,0,0,0,1,1,0,0,9
39,1,1,0,0,1,1,0,6
40,0,0,0,1,0,1,0,6
41,1,0,0,1,0,0,0,4
42,0,1,1,1,1,1,0,7
43,1,1,1,1,0,0,0,13
44,0,0,0,0,0,1,1,8
45,1,0,1,0,0,1,0,7
46,1,1,0,0,0,0,0,11
47,0,0,1,1,0,0,0,7
48,0,1,0,1,1,0,1,3
49,1,0,1,0,1,0,1,6
50,0,0,1,0,0,0,1,10
51,1,0,0,1,0,1,0,6
52,1,0,0,0,0,0,1,3
53,0,1,0,0,0,1,1,11
54,1,1,0,0,0,0,1,12
55,1,1,0,1,1,0,0,5
56,1,1,0,1,1,0,1,8
57,0,1,1,0,0,0,1,9
58,1,1,1,0,1,0,1,7
59,0,1,1,1,0,0,0,10
60,1,1,0,0,0,1,1,10
61,1,1,1,0,1,0,0,8
62,0,1,0,0,1,0,0,12
63,0,1,1,1,1,1,1,2
64,1,0,0,0,1,1,0,6
65,0,0,1,0,0,1,0,4
66,1,0,1,0,0,0,1,1
67,0,1,1,1,0,0,1,4
68,0,1,0,0,1,0,1,6
69,1,0,0,1,0,1,1,5
70,1,1,1,1,1,1,0,8
71,1,0,0,1,1,0,0,8
72,1,0,1,0,1,1,0,5
73,1,0,1,0,0,1,1,5
74,1,1,1,1,0,1,1,8
75,1,0,0,0,0,1,1,3
76,1,0,0,0,1,0,1,3
77,0,0,0,0,1,0,1,6
78,0,0,0,1,1,1,1,1
79,1,0,1,1,0,1,1,9
80,0,1,0,1,1,0,0,3
81,0,0,0,0,1,1,0,2
82,0,0,0,1,0,1,1,2
83,1,1,1,1,1,0,1,3
84,0,0,0,1,1,0,1,1
85,1,0,0,0,1,1,1,1
86,0,1,0,1,1,1,0,2
87,0,0,1,1,0,0,1,1
88,1,1,1,0,0,1,1,1
89,1,0,0,1,0,0,1,1
90,0,0,1,0,1,1,0,1
91,0,0,0,0,1,1,1,1
92,0,1,1,1,1,0,0,1
93,1,1,1,1,1,1,1,1
94,1,0,0,1,1,0,1,1
95,0,1,1,1,1,0,1,1
96,1,1,0,1,1,1,0,1
