,stab_1,stab_1,stab_2,stab_2,Data,Data,Data,num
,0,1,0,1,0,1,2,simulation num
0,0,0,0,0,1,1,1,42237
1,0,1,0,0,1,1,1,982
2,0,0,0,0,1,1,0,893
3,0,0,0,0,1,0,1,320
4,0,1,0,0,1,1,0,757
5,1,0,0,0,0,1,1,529
6,0,0,0,0,0,1,1,463
7,1,1,0,0,0,1,1,15
8,0,0,1,0,1,1,1,352
9,0,0,0,1,1,1,1,643
10,1,0,1,0,1,1,1,63
11,1,0,0,0,1,1,1,237
12,1,0,1,0,0,1,1,381
13,1,0,0,1,1,0,1,5
14,1,1,1,0,0,1,0,7
15,0,1,1,0,1,1,1,11
16,1,1,1,1,1,0,1,242
17,0,1,0,1,1,1,0,432
18,1,1,0,0,1,0,1,202
19,0,1,0,1,1,1,1,370
20,1,1,0,1,1,0,0,31
21,0,0,0,1,0,1,1,8
22,0,0,0,0,0,1,0,9
23,1,0,0,0,1,0,1,84
24,0,0,0,1,1,1,0,23
25,1,1,1,0,1,0,0,3
26,1,1,0,1,1,1,1,86
27,1,1,0,1,1,0,1,62
28,1,1,1,0,1,1,1,11
29,1,1,1,0,1,0,1,99
30,0,1,0,1,1,0,1,51
31,1,1,1,0,0,1,1,7
32,1,0,1,0,1,0,1,11
33,0,1,1,1,0,0,1,3
34,1,1,0,1,1,1,0,24
35,0,1,1,1,1,1,0,7
36,1,1,0,0,0,1,0,18
37,0,0,1,1,1,1,1,3
38,0,1,0,1,1,0,0,19
39,0,0,1,0,0,0,0,1
40,1,1,1,1,0,1,0,6
41,1,1,1,1,0,0,0,1
42,1,0,1,1,1,0,1,18
43,1,0,0,0,0,0,0,1
44,0,0,1,1,0,0,0,1
45,1,0,0,0,0,0,1,9
46,1,0,1,1,1,0,0,6
47,1,0,0,0,1,0,0,6
48,0,1,0,0,0,1,1,10
49,0,1,1,1,1,1,1,9
50,1,0,1,0,1,0,0,3
51,0,1,0,0,1,0,1,19
52,1,0,0,0,0,1,0,9
53,1,0,0,1,1,1,1,4
54,0,1,1,0,0,1,1,2
55,0,1,0,0,1,0,0,7
56,1,1,1,1,1,1,1,7
57,0,1,0,1,0,0,1,1
58,1,1,0,0,1,0,0,10
59,0,1,1,1,1,0,1,6
60,0,1,1,1,1,0,0,3
61,0,0,1,0,1,1,0,12
62,0,1,0,0,0,1,0,6
63,1,0,1,1,1,1,1,1
64,1,0,0,1,0,1,1,6
65,0,1,1,0,1,1,0,9
66,0,0,1,0,0,1,1,14
67,0,0,0,1,1,0,1,5
68,1,1,1,1,1,0,0,4
69,1,1,0,1,0,1,0,5
70,0,1,0,1,0,1,0,6
71,1,1,0,0,1,1,1,8
72,1,0,1,1,0,1,1,5
73,0,1,1,1,0,1,1,1
74,1,0,1,0,0,0,1,5
75,1,0,0,0,1,1,0,4
76,1,0,0,1,1,0,0,7
77,0,0,0,0,0,0,1,3
78,0,1,0,0,0,0,1,5
79,1,0,1,0,0,0,0,1
80,1,1,1,1,0,1,1,5
81,0,0,1,0,1,0,1,4
82,1,1,1,0,0,0,1,6
83,1,1,0,1,0,1,1,3
84,0,0,0,0,1,0,0,6
85,1,0,1,0,0,1,0,4
86,1,1,0,1,0,0,1,2
87,1,1,1,1,1,1,0,2
88,1,1,1,1,0,0,1,2
89,0,1,0,1,0,0,0,2
90,0,1,1,0,1,0,1,1
91,1,1,0,0,1,1,0,4
92,1,1,0,0,0,0,0,2
93,0,0,1,1,0,0,1,1
94,0,1,1,0,0,0,1,1
95,1,1,0,0,0,0,1,1
96,0,0,0,0,0,0,0,1
97,0,0,0,1,1,0,0,2
98,0,1,0,1,0,1,1,1
99,0,0,1,1,0,1,1,1
100,0,0,0,1,0,1,0,1
101,1,0,1,0,1,1,0,1
102,1,1,1,0,1,1,0,1
