,stab_1,stab_1,stab_2,stab_2,Data,Data,Data,num
,0,1,0,1,0,1,2,simulation num
0,0,1,0,1,1,1,0,478
1,0,0,0,0,1,1,1,43241
2,0,1,0,0,1,1,1,499
3,0,1,0,1,1,1,1,618
4,0,1,0,0,1,1,0,424
5,0,0,0,1,1,1,1,648
6,0,0,0,0,1,1,0,422
7,0,0,1,0,1,1,1,295
8,1,0,0,0,1,0,1,128
9,1,1,0,0,1,0,1,353
10,1,0,1,0,0,1,1,460
11,1,0,0,0,0,1,1,478
12,0,0,1,0,0,1,1,8
13,0,0,0,0,0,1,1,499
14,0,0,0,0,1,0,1,420
15,1,1,1,1,1,0,1,296
16,1,1,1,0,1,0,1,151
17,0,1,1,1,1,1,0,4
18,1,1,0,1,1,0,1,69
19,1,0,1,0,1,0,1,7
20,1,0,0,0,1,1,1,124
21,1,0,1,1,1,0,1,8
22,0,1,0,0,1,0,1,56
23,0,0,0,0,0,0,1,5
24,1,1,0,1,0,1,1,8
25,1,1,1,0,0,0,1,2
26,1,0,0,1,1,1,1,2
27,1,1,0,0,1,0,0,6
28,1,0,1,0,0,1,0,6
29,0,1,0,1,0,1,0,4
30,1,1,1,0,0,1,1,9
31,0,1,1,1,1,1,1,7
32,0,1,0,0,0,1,1,10
33,0,1,0,1,1,0,1,6
34,1,0,1,0,1,0,0,5
35,0,1,0,1,0,1,1,8
36,0,1,0,0,0,0,1,5
37,0,1,1,1,1,0,1,5
38,0,1,1,0,1,1,1,4
39,1,0,1,0,1,1,1,21
40,0,1,0,0,0,1,0,3
41,0,0,0,1,1,0,1,4
42,1,0,1,1,1,0,0,7
43,1,1,1,0,0,1,0,7
44,1,1,0,1,1,1,1,4
45,1,0,0,0,0,0,1,10
46,0,1,0,1,1,0,0,4
47,1,0,0,0,1,1,0,3
48,1,1,1,1,0,1,0,8
49,0,0,0,0,0,1,0,8
50,0,0,0,1,1,1,0,18
51,1,0,1,0,0,0,1,4
52,0,0,1,1,1,1,1,3
53,1,1,0,0,1,1,1,8
54,0,0,1,0,1,0,1,3
55,0,1,1,0,0,0,1,5
56,0,1,1,1,0,0,1,4
57,1,0,0,1,0,1,1,6
58,0,1,1,0,1,0,1,4
59,1,1,1,1,0,1,1,5
60,1,1,0,0,0,1,1,6
61,0,0,1,0,1,1,0,1
62,1,0,0,0,1,0,0,5
63,1,1,0,1,1,1,0,1
64,1,1,1,0,1,1,1,1
65,1,1,0,0,0,0,1,4
66,0,1,1,0,1,1,0,1
67,0,1,1,0,1,0,0,1
68,1,1,0,1,0,1,0,5
69,0,1,0,0,1,0,0,4
70,0,1,0,1,0,0,1,1
71,1,1,0,1,0,0,1,2
72,1,0,1,1,0,1,1,3
73,1,1,0,1,1,0,0,7
74,1,1,1,1,0,0,1,3
75,0,0,0,0,1,0,0,3
76,0,0,0,1,0,1,1,8
77,1,1,1,1,1,0,0,3
78,1,0,0,1,1,0,0,6
79,1,0,0,1,1,0,1,6
80,0,1,1,1,0,1,0,1
81,1,0,0,0,0,1,0,4
82,1,1,1,1,1,1,1,3
83,1,1,1,0,1,0,0,1
84,1,1,0,0,0,1,0,1
85,0,1,1,0,0,1,0,1
86,1,0,1,1,1,1,1,1
