,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,num
,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30633
1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,7
2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,472
3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,210
4,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,5
5,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,11
6,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,325
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1063
8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,202
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992
10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,998
11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,78
12,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,6
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,609
14,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,459
15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31
16,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10
17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,938
18,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,241
19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,642
20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,434
21,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,108
22,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7
23,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,297
24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,644
25,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,195
26,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,289
27,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,309
28,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,14
29,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,24
30,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,28
31,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,175
32,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,701
33,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
34,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,7
35,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,6
36,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,32
37,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4
38,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5
39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,101
40,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8
41,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,82
42,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,14
43,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10
44,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,21
45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,319
46,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7
47,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,292
48,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,29
49,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,19
50,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,4
51,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,3
52,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,34
