,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,num
,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,30306
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,465
2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1035
3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,870
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,461
5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,408
6,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1
7,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2
8,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,380
9,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,3
10,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,128
11,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,473
12,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,996
13,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,32
14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,722
15,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,56
16,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,299
17,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1
18,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,6
19,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,847
20,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2
21,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,14
22,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,136
23,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,317
24,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,12
25,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,877
26,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,9
27,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,151
28,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,39
29,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,515
30,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,10
31,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,3
