,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,num
,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,simulation num
0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,614
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,966
2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,30250
3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,867
4,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,39
5,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,766
6,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,443
7,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1138
8,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1060
9,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,9
10,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,677
11,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,354
12,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,629
13,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,205
14,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,30
15,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,24
16,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,16
17,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1
18,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1
19,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,465
20,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,25
21,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,249
22,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,9
23,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,143
24,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2
25,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,263
26,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,568
27,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,7
28,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1
29,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,157
30,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,20
31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,304
32,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,8
33,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,166
34,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,377
35,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,148
36,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,220
37,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,31
38,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,385
