,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,Data,Data,Data,num
,0,1,0,1,0,1,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,39775
1,0,0,0,0,0,1,0,0,0,735
2,0,1,0,0,0,0,0,0,0,862
3,0,0,0,0,0,0,1,0,0,355
4,0,1,0,1,0,1,0,0,1,406
5,0,0,0,0,0,0,0,0,1,554
6,0,1,0,0,0,0,0,0,1,612
7,1,1,1,1,1,1,0,1,0,250
8,1,0,1,0,0,0,1,0,0,471
9,1,0,1,0,0,0,0,0,0,32
10,0,1,0,1,0,0,0,1,0,7
11,1,1,1,1,0,1,0,1,1,10
12,1,0,1,0,1,0,0,0,1,1
13,0,0,0,1,0,0,0,0,0,741
14,0,0,0,1,0,0,0,0,1,352
15,0,0,0,0,0,0,0,1,0,310
16,0,1,0,1,0,0,0,0,0,303
17,0,1,0,1,0,0,0,0,1,550
18,0,1,1,1,0,1,0,1,0,35
19,1,1,1,0,0,1,0,1,0,2
20,1,1,0,0,0,0,0,1,0,268
21,1,1,1,1,1,0,0,1,0,52
22,1,0,1,0,1,0,1,0,0,336
23,1,0,0,0,0,0,1,0,1,6
24,0,0,0,1,0,1,0,0,1,72
25,0,0,1,0,0,0,1,0,0,40
26,0,1,0,0,1,0,0,0,1,4
27,0,0,0,1,0,1,0,0,0,97
28,0,1,1,1,0,1,0,0,0,34
29,0,0,0,1,0,0,1,0,0,4
30,0,0,1,0,0,0,0,0,0,194
31,1,1,1,0,0,0,0,0,0,3
32,0,1,1,1,0,0,0,0,0,8
33,0,0,0,0,1,0,0,0,0,272
34,1,1,1,1,0,1,0,1,0,41
35,0,0,1,1,0,0,0,0,0,8
36,1,1,0,0,0,0,1,0,0,6
37,1,1,1,0,1,0,1,0,0,7
38,1,1,0,1,0,0,0,1,1,4
39,1,1,1,1,0,0,0,1,0,252
40,1,0,0,0,0,0,1,0,0,451
41,1,0,1,1,1,0,0,1,0,1
42,1,0,0,0,1,0,0,1,0,1
43,1,0,0,0,0,0,0,0,0,193
44,0,1,0,0,0,0,1,0,1,5
45,1,0,0,0,0,0,0,1,1,10
46,1,1,1,1,0,0,1,1,0,5
47,0,1,1,1,0,1,0,1,1,20
48,1,1,0,0,0,0,1,0,1,6
49,0,1,0,1,0,1,0,0,0,146
50,1,1,1,1,0,1,0,0,0,24
51,1,0,0,1,1,1,0,1,0,1
52,1,0,0,1,0,0,0,1,0,3
53,1,0,0,0,0,0,1,1,0,4
54,1,0,1,0,0,1,1,0,0,10
55,1,1,0,1,0,0,0,0,0,3
56,0,1,0,1,1,0,0,0,1,3
57,0,1,0,0,0,1,0,0,1,68
58,1,1,1,0,1,0,0,1,0,2
59,0,1,0,1,1,1,1,0,1,1
60,1,1,1,1,1,1,1,0,1,2
61,1,0,1,0,1,1,0,1,1,5
62,1,1,0,1,0,1,0,1,0,32
63,1,1,1,0,0,0,0,1,0,69
64,0,1,1,0,1,0,0,0,0,1
65,0,1,0,0,0,1,0,0,0,22
66,1,1,1,0,0,1,1,0,1,4
67,1,1,1,0,1,1,0,1,0,7
68,0,1,0,1,0,0,0,1,1,6
69,1,0,1,1,0,0,0,1,0,14
70,0,1,0,1,0,1,1,0,1,6
71,1,0,0,0,1,0,1,0,0,10
72,1,1,1,1,0,0,1,0,0,4
73,0,0,0,0,0,1,0,0,1,55
74,1,1,0,1,0,1,1,0,0,2
75,1,1,1,1,1,1,0,0,0,7
76,1,0,0,0,0,0,0,1,0,50
77,1,0,1,1,1,1,0,1,0,3
78,0,1,1,1,0,1,1,0,0,1
79,0,1,0,0,0,0,0,1,1,10
80,1,0,0,1,0,0,1,0,0,8
81,0,0,1,1,0,0,0,0,1,5
82,0,1,0,1,1,1,0,1,0,2
83,0,1,0,1,1,1,0,0,0,4
84,0,1,1,1,0,1,0,0,1,19
85,1,0,0,1,0,0,0,0,0,6
86,1,1,1,1,0,1,0,0,1,12
87,1,0,0,0,0,1,1,0,0,6
