,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,Data,Data,Data,num
,0,1,0,1,0,1,0,1,2,simulation num
0,0,1,0,1,0,0,1,1,0,545
1,0,0,0,0,0,0,1,1,1,40352
2,0,0,0,0,0,1,1,1,1,519
3,0,1,0,0,0,0,1,1,1,653
4,1,0,0,1,0,0,1,0,0,7
5,1,0,1,0,0,0,0,1,1,442
6,1,1,1,1,1,1,1,0,1,201
7,1,0,0,0,0,0,0,1,1,429
8,0,0,0,0,0,0,1,1,0,706
9,0,1,0,1,0,1,1,1,1,186
10,0,0,0,1,0,0,1,1,1,535
11,1,1,1,1,1,1,1,0,0,3
12,0,1,0,0,0,0,1,1,0,584
13,0,0,0,0,1,0,1,1,1,363
14,1,0,0,0,0,0,1,0,1,82
15,0,0,0,0,0,0,0,1,1,449
16,1,1,1,1,0,0,1,0,1,164
17,1,0,1,1,1,0,0,1,1,4
18,0,0,0,0,0,0,1,0,1,281
19,0,1,1,1,0,1,1,1,1,39
20,1,1,0,1,0,0,1,0,1,15
21,0,1,0,1,0,0,1,0,1,3
22,0,1,0,1,0,0,1,1,1,314
23,0,1,0,1,0,1,1,1,0,374
24,0,0,1,0,0,0,1,1,1,181
25,1,0,1,0,1,0,1,1,1,50
26,1,0,1,0,1,0,0,1,1,402
27,0,0,0,1,0,1,1,1,1,130
28,1,0,0,0,0,1,1,0,1,3
29,1,1,1,1,1,1,0,0,1,6
30,1,1,1,0,1,1,1,1,1,1
31,0,0,0,1,0,0,1,1,0,269
32,0,1,1,1,0,1,1,0,1,36
33,0,1,1,1,0,0,1,1,1,7
34,1,1,0,0,0,0,1,0,1,187
35,1,1,0,0,0,0,1,1,1,8
36,0,1,0,0,0,1,1,1,1,54
37,1,0,0,0,0,0,1,1,1,192
38,1,0,1,0,0,1,0,0,1,1
39,1,1,0,1,1,1,1,0,1,9
40,0,1,0,1,0,0,0,1,0,9
41,1,0,1,1,0,0,0,1,1,3
42,1,1,1,1,0,1,1,1,0,11
43,0,1,0,0,0,0,1,0,1,16
44,1,1,1,1,0,1,0,0,1,4
45,1,1,1,1,1,0,1,0,1,79
46,0,1,0,1,0,1,0,0,1,4
47,0,1,0,0,0,0,0,1,0,5
48,0,1,0,0,0,0,0,1,1,8
49,1,0,1,0,1,0,0,0,1,2
50,1,0,1,0,1,0,1,0,1,10
51,0,1,1,0,0,0,0,1,1,2
52,1,1,0,0,0,0,0,1,0,10
53,1,0,0,0,0,0,0,0,1,10
54,0,1,1,0,0,0,0,0,1,6
55,1,1,1,1,1,0,0,1,0,3
56,0,0,1,0,0,1,1,1,1,1
57,1,0,0,0,0,0,0,0,0,1
58,1,0,1,1,1,1,1,0,0,3
59,1,1,1,1,0,1,1,0,0,15
60,1,1,1,1,0,1,1,0,1,29
61,1,0,0,0,0,1,1,1,1,5
62,0,0,1,0,1,0,1,1,1,10
63,1,0,0,1,0,0,0,1,1,4
64,0,1,1,1,0,1,1,1,0,25
65,1,1,0,1,0,1,1,1,1,28
66,0,1,0,1,0,0,1,0,0,5
67,1,1,1,1,0,0,1,0,0,8
68,1,0,1,0,0,0,1,1,1,38
69,0,0,1,1,0,1,1,0,1,1
70,1,1,1,1,0,0,0,1,0,11
71,0,0,1,0,1,1,1,1,1,1
72,0,1,0,0,1,0,1,1,1,8
73,1,1,1,0,1,0,1,1,1,4
74,0,0,0,0,1,0,1,1,0,5
75,1,1,1,0,1,0,1,0,1,9
76,1,0,1,1,0,0,1,0,1,7
77,1,0,0,1,0,1,1,1,1,1
78,0,1,0,1,1,1,1,0,1,1
79,1,1,1,0,0,0,1,0,1,91
80,0,0,0,1,0,0,1,0,1,4
81,1,0,1,0,1,0,1,1,0,1
82,0,1,0,0,0,0,1,0,0,14
83,1,1,1,0,0,0,0,1,1,8
84,1,0,1,1,1,1,1,0,1,3
85,1,0,1,0,0,0,0,1,0,3
86,1,0,1,1,0,0,1,0,0,8
87,0,1,1,0,1,0,0,1,0,1
88,1,1,1,0,1,1,0,1,1,1
89,1,1,0,0,0,1,0,1,0,1
90,0,0,0,0,0,1,1,1,0,10
91,0,1,1,1,1,1,1,0,1,6
92,1,1,0,0,0,0,1,0,0,2
93,1,1,0,1,0,1,1,1,0,11
94,0,0,1,0,0,0,0,1,1,28
95,0,0,1,1,0,1,1,1,1,6
96,1,1,1,1,0,1,1,1,1,18
97,1,0,0,0,0,0,1,0,0,5
98,1,0,0,1,0,0,1,0,1,3
99,1,0,1,1,0,1,1,0,0,3
100,0,0,0,0,1,1,1,1,1,11
101,1,1,1,1,0,0,1,1,1,8
102,1,0,1,1,0,1,1,0,1,1
103,0,0,1,1,0,0,1,1,1,8
104,1,0,0,0,1,0,0,1,1,16
105,0,1,0,0,0,1,1,1,0,24
106,1,1,1,0,1,0,0,1,0,7
107,1,1,0,1,0,0,0,0,1,1
108,1,1,1,0,0,0,1,0,0,4
109,1,0,1,0,0,1,1,0,0,3
110,0,0,0,0,0,0,0,1,0,13
111,1,1,1,0,0,0,0,1,0,3
112,0,0,0,1,0,1,1,1,0,17
113,0,1,1,0,0,0,1,0,1,3
114,1,0,1,0,0,0,0,0,1,6
115,1,1,0,1,0,1,0,0,0,2
116,1,1,1,0,1,1,1,0,1,6
117,1,0,0,1,0,0,1,1,0,2
118,1,1,1,0,1,0,0,1,1,10
119,0,1,0,1,1,1,1,1,0,5
120,1,0,0,0,1,0,1,1,1,6
121,1,1,1,1,1,0,0,1,1,2
122,1,1,0,1,0,1,1,0,1,21
123,0,0,1,0,0,0,1,1,0,4
124,1,1,0,1,0,1,1,0,0,8
125,1,1,1,1,0,1,0,1,0,9
126,1,0,0,0,0,0,0,1,0,12
127,0,0,0,1,0,1,0,1,1,3
128,1,1,1,0,1,1,1,0,0,4
129,1,1,0,0,0,0,1,1,0,3
130,0,1,0,0,1,0,1,1,0,4
131,0,1,0,1,1,0,1,1,0,2
132,0,1,1,1,0,1,1,0,0,10
133,1,1,1,0,0,1,0,1,0,2
134,1,1,0,1,1,0,1,0,1,1
135,1,1,1,1,0,0,0,1,1,6
136,0,1,1,1,1,1,1,1,1,2
137,0,0,0,1,0,1,0,1,0,1
138,0,0,0,1,0,1,1,0,1,6
139,0,1,1,0,0,1,1,1,0,2
140,0,0,1,0,1,0,0,1,1,4
141,1,1,0,0,0,0,0,0,1,4
142,1,0,1,1,1,0,1,0,1,5
143,0,1,1,1,0,0,1,1,0,4
144,1,0,1,0,0,1,0,1,1,2
145,0,1,0,0,0,0,0,0,1,1
146,1,1,0,1,0,0,0,1,0,4
147,1,1,0,1,0,0,1,1,0,3
148,1,0,1,0,1,0,0,1,0,7
149,1,0,0,1,0,1,1,0,0,1
150,1,1,0,0,0,0,0,1,1,9
151,0,1,0,1,0,1,0,1,0,2
152,1,0,1,1,0,1,1,1,1,2
153,0,1,1,1,1,1,1,0,0,2
154,0,1,1,1,1,0,1,1,1,1
155,0,1,0,1,0,1,1,0,1,25
156,1,1,0,1,1,1,1,1,1,3
157,0,0,0,1,1,0,1,1,1,3
158,0,1,0,1,1,0,1,1,1,3
159,0,1,0,1,1,1,0,0,1,2
160,0,1,0,1,1,0,0,0,1,4
161,1,0,1,1,1,1,0,1,1,3
162,0,1,0,1,0,0,0,1,1,4
163,1,1,1,0,0,0,1,1,1,3
164,1,1,1,1,1,0,1,1,1,4
165,0,1,1,1,0,1,0,1,0,1
166,0,0,0,0,1,0,0,1,1,6
167,1,0,0,1,0,0,0,1,0,5
168,1,1,1,1,0,0,1,1,0,2
169,1,0,1,1,1,0,1,1,1,3
