,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_2,stab_2,stab_3,stab_3,stab_3,stab_3,stab_3,stab_3,Data,Data,Data,num
,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26677
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179
2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,86
3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
4,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,227
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,372
6,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,237
7,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869
10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
11,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,354
12,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,27
13,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,389
14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,131
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,833
16,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41
17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6
18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442
19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,339
20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,376
21,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,6
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,182
23,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,297
24,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851
26,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,26
28,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,968
30,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,7
31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,538
33,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,66
34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,17
35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8
36,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,8
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,650
38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,157
39,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,23
40,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7
41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,383
42,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
43,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,15
44,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,48
45,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,4
46,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,38
47,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17
49,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
50,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,49
51,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,52
52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294
53,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
54,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,10
55,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,19
56,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,12
57,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,35
58,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1
59,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2
60,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,5
61,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7
62,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,117
63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334
64,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,7
65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10
66,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,58
67,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,32
68,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,114
69,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,495
70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4
71,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
72,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,467
74,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
75,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,265
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,396
78,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,8
79,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,161
81,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,69
82,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,247
83,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,9
84,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,3
85,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
86,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6
87,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,222
88,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,88
89,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1
90,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,12
91,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3
92,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,54
93,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4
94,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6
95,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,67
96,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,108
97,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
99,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7
100,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3
101,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,95
102,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,108
103,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1
104,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,5
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,211
106,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
107,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
108,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
109,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12
110,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
111,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
112,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2
113,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1
114,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32
115,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,8
116,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12
117,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,126
118,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16
119,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,8
120,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,31
121,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66
122,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
123,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1
124,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1
125,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,387
126,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,12
127,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
128,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1
129,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
130,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
131,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,2
132,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,2
133,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1
134,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,14
135,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1
136,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30
137,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7
138,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,7
139,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,26
140,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
141,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
142,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
143,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1
144,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3
145,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,128
146,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
147,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,81
148,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
149,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,35
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6
152,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
153,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3
154,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,78
155,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,3
156,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5
158,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
159,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2
160,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,10
161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
162,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
163,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1
164,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2
165,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,2
166,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
167,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,91
168,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
169,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18
170,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,3
171,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2
172,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1
173,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
174,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,25
175,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3
176,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
177,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1
178,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
179,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13
180,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,8
181,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7
182,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7
183,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,20
184,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,11
185,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4
186,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,108
187,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
188,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,47
189,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
190,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,2
191,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1
192,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1
193,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45
194,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1
195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32
196,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,84
197,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,4
198,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
199,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,44
200,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,7
201,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,5
202,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,8
203,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20
204,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,10
205,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1
206,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,55
207,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12
208,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1
209,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1
210,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,14
211,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,3
212,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
213,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,15
214,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9
215,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14
216,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
218,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,2
219,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16
220,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,12
221,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5
222,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
223,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
224,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5
225,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
226,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,6
227,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
228,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1
229,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
230,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6
