,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,Data,Data,Data,num
,0,1,0,1,0,1,0,1,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,38033
1,0,0,0,0,1,0,0,0,0,0,0,178
2,1,0,0,0,0,0,0,0,0,0,0,179
3,0,0,0,0,0,1,0,0,0,0,0,585
4,0,1,0,0,0,0,0,0,0,0,1,465
5,0,1,0,1,0,1,0,1,0,0,1,339
6,1,1,0,1,1,1,0,1,0,1,0,4
7,1,1,1,1,1,1,1,1,0,1,0,183
8,1,0,1,0,1,0,0,0,1,0,0,386
9,1,1,1,1,0,0,0,0,0,1,0,249
10,0,0,0,0,0,0,0,0,1,0,0,325
11,1,0,0,0,0,0,0,0,1,0,0,406
12,0,0,0,1,0,0,0,0,0,0,0,486
13,0,0,0,0,0,0,0,1,0,0,0,695
14,0,1,0,0,0,1,0,0,0,0,1,159
15,0,1,0,1,0,0,0,0,0,0,1,434
16,0,1,0,1,0,1,0,0,0,0,1,404
17,1,1,0,0,0,0,0,0,0,1,0,234
18,0,0,0,0,0,0,1,0,0,0,0,293
19,0,0,0,0,0,0,0,0,0,1,0,292
20,1,0,1,0,1,0,1,0,1,0,1,3
21,0,0,0,0,0,1,0,1,1,0,0,1
22,1,0,1,0,1,0,1,0,1,0,0,300
23,0,0,0,1,0,0,0,0,0,0,1,186
24,0,0,0,1,0,1,0,0,0,0,1,156
25,0,0,0,1,0,1,0,0,0,0,0,166
26,1,0,0,1,0,1,0,0,0,1,1,4
27,1,0,1,0,0,0,0,0,1,0,0,362
28,0,1,0,1,0,0,0,0,0,0,0,176
29,0,1,0,1,0,1,0,0,0,0,0,106
30,0,1,0,0,0,0,0,0,0,0,0,662
31,0,0,0,0,0,0,0,0,0,0,1,432
32,0,1,1,1,0,1,0,1,0,1,0,5
33,1,0,0,0,0,0,0,0,0,1,0,50
34,0,0,1,0,0,0,0,0,0,0,0,164
35,1,1,0,1,0,1,0,1,1,0,1,3
36,1,1,1,1,1,1,0,0,1,0,1,6
37,0,0,0,0,0,0,1,0,0,0,1,4
38,0,0,0,0,0,1,0,0,0,0,1,161
39,0,1,0,0,0,0,0,1,0,0,1,29
40,1,1,1,0,0,0,0,0,0,1,0,59
41,1,0,0,0,1,0,0,0,1,0,0,21
42,1,0,0,1,0,0,0,1,1,0,1,2
43,0,1,1,0,0,0,0,0,0,1,0,3
44,0,0,0,0,0,1,0,1,0,0,0,79
45,0,0,0,1,0,1,0,1,0,0,1,32
46,0,0,1,0,0,0,0,0,1,0,0,20
47,0,0,0,0,0,1,0,1,0,0,1,31
48,0,1,1,1,1,1,0,1,0,1,1,18
49,0,0,0,0,0,0,0,1,1,0,0,7
50,0,1,0,1,0,0,0,1,0,0,1,61
51,1,0,1,0,1,0,0,0,0,1,1,9
52,1,0,1,1,0,0,0,0,1,0,1,1
53,0,1,0,0,0,1,0,0,0,1,0,5
54,1,1,1,0,1,0,1,1,0,1,0,1
55,1,1,1,1,1,0,0,0,0,1,0,59
56,1,1,0,1,1,1,0,1,0,0,1,22
57,0,0,0,1,1,1,1,1,0,0,0,2
58,0,1,0,1,0,1,0,1,0,0,0,106
59,0,1,0,0,0,1,0,0,0,0,0,200
60,1,0,1,0,1,1,0,0,0,1,1,4
61,1,1,1,1,1,1,0,1,1,0,1,2
62,1,0,0,0,0,1,0,0,0,0,0,5
63,1,1,1,0,0,0,0,0,1,0,0,9
64,1,1,1,1,0,1,0,1,0,0,0,6
65,0,1,0,1,1,1,0,1,0,0,1,18
66,1,1,0,0,0,0,0,0,0,0,0,13
67,1,0,1,0,0,1,0,1,0,1,1,3
68,0,1,1,1,0,1,0,0,0,0,1,2
69,0,1,1,1,0,1,0,1,0,1,1,21
70,1,1,1,1,0,1,1,1,0,0,1,1
71,0,0,1,0,0,0,1,0,1,0,0,2
72,0,1,1,0,0,0,0,0,1,1,0,3
73,0,0,0,1,0,0,1,0,0,0,0,4
74,1,1,1,1,1,1,1,0,0,1,0,70
75,1,1,1,1,1,1,0,0,0,1,0,231
76,1,0,1,1,1,0,0,0,1,0,0,13
77,1,1,1,1,1,0,0,0,0,1,1,1
78,1,1,1,1,1,1,0,1,0,0,1,9
79,0,0,0,0,0,0,1,0,1,0,0,3
80,0,1,1,1,0,0,0,0,0,1,1,2
81,1,0,1,1,1,0,1,0,1,0,0,4
82,0,1,0,1,1,1,0,1,0,0,0,7
83,1,1,0,0,0,1,0,1,0,1,0,1
84,0,1,1,1,1,1,1,1,1,1,0,3
85,1,1,0,1,0,1,0,1,0,0,1,13
86,1,0,1,0,1,0,0,0,0,0,0,17
87,0,1,1,0,1,1,1,1,0,0,0,1
88,0,1,0,0,0,0,0,0,0,1,0,21
89,0,1,0,1,0,0,0,0,1,0,1,5
90,1,1,0,0,0,1,0,0,1,0,1,3
91,1,0,1,1,1,0,1,0,1,0,1,3
92,1,0,1,1,1,1,1,1,0,0,0,1
93,0,1,0,1,0,1,0,1,1,0,1,3
94,1,1,1,1,1,1,0,1,0,1,1,12
95,1,0,0,0,0,1,0,0,1,0,1,3
96,0,1,1,1,1,1,0,1,0,0,1,21
97,1,1,0,0,0,0,0,0,1,0,1,2
98,0,1,1,1,1,1,0,1,1,0,1,2
99,1,1,1,0,1,0,0,0,1,0,0,6
100,0,0,0,0,0,0,0,1,0,0,1,34
101,0,0,0,0,0,0,0,1,0,1,0,6
102,0,0,0,1,0,0,0,1,0,0,1,26
103,0,1,1,1,0,1,0,1,0,0,1,16
104,1,1,1,1,0,1,0,0,0,1,0,10
105,1,1,1,1,1,1,1,1,1,0,1,5
106,0,0,0,0,0,0,0,0,0,1,1,4
107,1,1,0,1,0,1,0,1,0,1,0,7
108,1,1,1,0,1,0,0,0,0,1,1,1
109,0,1,0,0,0,0,0,0,0,1,1,14
110,1,0,0,0,1,0,0,0,0,0,0,17
111,0,0,1,0,1,0,0,0,1,0,0,19
112,1,0,1,1,0,0,0,0,0,1,1,9
113,1,1,1,1,1,1,0,1,0,1,0,17
114,0,1,1,1,1,1,0,0,0,1,0,6
115,1,0,0,0,1,0,1,0,1,0,0,4
