,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,Data,Data,Data,num
,0,1,0,1,0,1,0,1,0,1,2,simulation num
0,0,0,0,0,1,0,0,0,1,1,1,180
1,0,0,0,0,0,0,0,0,1,1,1,38639
2,0,1,0,1,0,0,0,0,1,1,0,495
3,0,1,0,0,0,0,0,0,1,1,0,494
4,0,0,0,0,0,0,1,0,1,1,1,327
5,0,0,0,0,0,1,0,0,1,1,1,329
6,1,0,1,0,1,0,0,0,0,1,1,428
7,0,0,0,0,0,0,0,1,1,1,1,469
8,0,1,0,1,0,1,0,1,1,1,1,101
9,0,1,0,0,0,0,0,0,1,1,1,477
10,1,0,0,0,0,0,0,0,0,1,1,464
11,1,0,1,0,1,0,1,0,0,1,1,384
12,0,0,1,1,0,0,0,0,1,1,0,1
13,0,0,1,0,1,0,0,0,1,1,1,19
14,1,1,0,1,0,1,0,0,0,1,0,7
15,1,1,1,1,0,0,1,0,1,0,1,5
16,1,0,1,0,0,0,0,0,0,1,1,384
17,0,0,0,0,0,0,0,0,0,1,1,424
18,0,0,0,0,0,0,0,0,1,1,0,520
19,0,0,0,0,0,0,0,0,1,0,1,279
20,1,1,1,1,1,1,0,0,1,0,1,149
21,1,1,1,1,0,0,0,0,1,0,1,164
22,0,0,1,0,0,0,0,0,1,1,1,150
23,0,0,0,1,0,0,0,0,1,1,0,137
24,0,1,0,1,0,1,0,1,1,1,0,318
25,0,1,1,0,0,0,0,0,1,1,0,3
26,0,1,0,1,0,0,0,0,1,1,1,184
27,1,1,1,0,0,0,0,0,1,0,1,62
28,0,1,0,1,0,1,0,0,1,1,0,478
29,1,0,1,0,1,1,1,0,1,1,0,1
30,1,0,0,0,0,0,0,0,1,0,1,90
31,1,1,0,0,0,0,0,0,0,1,0,9
32,0,0,0,1,0,0,0,0,1,1,1,376
33,0,1,0,0,0,1,0,1,1,1,1,38
34,1,0,0,0,0,0,0,0,1,1,1,207
35,0,0,0,1,0,1,0,1,1,1,1,44
36,0,1,0,1,0,1,0,1,0,1,0,8
37,0,1,0,0,0,1,0,0,1,1,1,173
38,1,1,0,1,0,1,0,1,1,1,0,23
39,1,1,1,1,1,1,1,1,1,0,1,146
40,1,0,0,0,1,0,1,0,0,1,1,2
41,0,1,0,1,0,0,0,1,1,1,0,16
