,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,Data,Data,Data,num
,0,1,0,1,0,1,0,1,0,1,2,simulation num
0,0,0,0,1,0,0,0,0,0,1,1,4
1,0,0,0,0,0,0,0,0,1,1,1,39482
2,0,1,0,1,0,1,0,0,1,1,0,362
3,0,1,0,0,0,0,0,0,1,1,1,365
4,1,0,1,0,0,0,0,0,1,0,1,7
5,1,1,1,1,1,1,1,1,1,0,1,261
6,1,1,1,1,1,1,0,0,1,0,1,323
7,0,0,0,0,0,0,0,0,1,1,0,378
8,0,0,0,1,0,0,0,0,1,1,1,296
9,0,1,0,0,0,0,0,0,1,0,1,62
10,0,0,0,0,0,0,0,0,1,0,1,395
11,1,0,0,0,0,0,0,0,0,1,1,448
12,0,1,0,1,0,1,0,1,1,1,1,392
13,0,1,0,1,0,0,0,0,1,1,0,353
14,1,1,0,1,0,1,0,1,0,1,1,4
15,1,0,1,0,1,0,1,0,0,1,1,397
16,1,0,1,0,1,0,0,0,0,1,1,441
17,1,1,1,1,0,0,0,0,1,0,1,309
18,0,1,0,1,0,0,0,0,0,0,1,5
19,0,1,0,0,0,0,0,0,1,1,0,359
20,0,0,1,0,0,0,0,0,0,1,1,10
21,1,0,0,0,0,0,0,0,1,0,1,115
22,0,0,0,1,0,1,0,0,1,1,1,88
23,0,1,0,0,0,1,0,1,1,1,1,40
24,1,1,1,1,1,1,1,0,1,0,1,124
25,1,0,1,0,0,0,0,0,0,1,1,444
26,0,0,0,0,0,0,0,0,0,1,1,443
27,1,0,1,0,1,0,1,0,0,0,1,7
28,0,0,0,0,1,1,1,0,1,1,1,2
29,1,0,0,0,0,1,0,0,1,0,0,1
30,0,1,0,1,0,0,0,0,1,1,1,129
31,1,1,1,1,0,1,0,0,1,0,1,65
32,1,0,0,0,0,0,0,0,1,1,1,113
33,0,1,0,1,0,1,0,1,1,1,0,410
34,1,1,0,0,0,0,0,0,1,0,1,314
35,0,1,0,0,0,1,0,1,1,1,0,13
36,0,0,0,1,0,0,0,0,1,1,0,17
37,0,0,0,0,0,0,0,1,1,1,1,508
38,0,0,0,0,0,0,1,0,1,1,1,256
39,1,0,1,0,0,0,0,1,1,0,1,1
40,0,0,0,0,0,1,0,0,1,1,1,277
41,0,1,0,1,0,1,0,1,1,0,0,6
42,0,0,0,0,1,0,0,0,1,1,1,133
43,1,1,1,1,1,0,0,0,1,0,0,2
44,1,1,0,0,0,0,0,0,1,0,0,4
45,0,1,0,1,0,0,0,1,1,1,0,26
46,1,0,0,0,1,0,0,0,0,1,1,10
47,0,1,0,1,0,0,0,1,1,1,1,35
48,0,1,1,1,0,0,0,0,1,1,0,2
49,0,1,0,0,1,0,1,0,0,0,1,1
50,0,1,0,0,0,1,0,0,1,1,1,34
51,0,0,0,0,0,1,0,1,1,1,1,111
52,1,1,1,1,1,0,0,0,1,0,1,85
53,1,0,1,0,0,0,0,0,1,0,0,9
54,1,1,1,0,0,0,0,0,1,0,1,151
55,0,0,1,0,0,0,0,0,1,1,1,124
56,1,1,1,0,1,1,1,1,1,0,1,8
57,0,1,0,1,1,1,0,1,1,1,1,4
58,0,1,0,0,0,0,0,0,0,1,1,6
59,0,1,0,1,0,1,0,1,1,0,1,8
60,0,1,0,1,0,0,0,0,1,0,0,5
61,0,1,1,0,0,0,0,0,0,0,1,5
62,0,0,0,1,0,0,0,0,0,0,1,1
63,1,1,1,1,1,1,0,0,0,0,1,6
64,1,1,0,1,0,0,0,0,1,0,0,1
65,1,0,1,1,1,1,0,0,1,0,1,7
66,1,1,1,1,1,1,0,1,1,0,1,81
67,0,1,1,1,1,0,0,0,0,0,1,3
68,1,1,0,1,0,0,0,0,1,0,1,52
69,0,1,0,0,0,0,1,0,1,1,1,4
70,1,1,0,0,0,1,0,0,1,0,1,6
71,0,0,0,0,0,0,1,1,1,1,1,3
72,0,1,1,0,0,0,0,0,1,0,1,2
73,1,1,1,1,1,0,1,0,1,0,1,4
74,0,1,0,0,0,0,0,1,1,1,1,34
75,0,1,1,0,0,0,0,0,1,1,0,1
76,1,1,0,0,0,0,0,0,1,1,1,6
77,0,0,1,0,1,0,1,0,0,1,1,3
78,1,0,1,0,1,1,0,0,0,1,1,3
79,1,0,0,0,1,0,0,0,1,1,1,6
80,0,1,0,1,1,0,1,0,0,0,1,5
81,0,0,0,1,0,1,0,0,1,1,0,17
82,1,0,1,1,0,0,0,0,0,1,1,3
83,1,0,0,0,1,0,1,1,0,1,1,1
84,1,0,0,0,0,0,0,0,0,1,0,4
85,1,0,1,0,0,0,1,0,0,1,1,15
86,0,0,0,0,0,0,0,1,1,0,1,13
87,1,0,0,1,0,0,0,0,0,1,1,1
88,1,0,1,0,1,0,1,0,1,1,1,13
89,0,0,0,1,0,1,0,1,1,1,1,40
90,1,1,0,0,0,0,1,0,1,0,1,4
91,0,1,0,1,0,0,1,0,1,1,0,2
92,0,0,1,0,1,0,0,0,0,1,1,14
93,1,1,1,1,1,0,0,0,0,1,1,3
94,1,1,1,0,1,0,0,0,0,1,1,4
95,1,0,1,0,1,0,0,0,1,1,1,10
96,1,1,1,1,0,1,0,1,1,0,1,9
97,1,0,1,0,0,0,0,1,0,1,1,5
98,0,1,0,1,0,1,1,1,1,1,0,5
99,0,0,0,0,1,1,0,0,1,1,1,5
100,1,1,0,1,0,1,0,1,1,0,1,8
101,0,1,0,1,0,1,0,0,1,1,1,54
102,1,0,1,0,1,0,0,0,1,0,0,6
103,0,1,0,1,1,1,1,1,0,0,1,4
104,1,1,0,1,0,0,0,0,1,1,1,1
105,0,1,0,1,1,0,0,0,0,0,1,3
106,0,0,0,0,0,0,0,0,0,1,0,4
107,0,0,1,1,1,0,0,0,1,1,1,1
108,1,0,1,1,1,1,1,0,1,0,1,1
109,1,1,0,0,0,0,0,1,1,0,1,6
110,1,1,1,0,1,0,1,0,0,1,1,3
111,1,1,1,1,1,1,0,0,1,0,0,2
112,1,0,1,0,0,0,0,0,0,1,0,4
113,0,1,1,1,1,1,0,0,0,0,1,4
114,1,0,1,0,1,0,0,1,0,1,1,5
115,1,0,1,0,1,0,1,0,1,0,1,1
116,1,0,0,0,0,0,0,1,0,1,1,8
117,0,1,0,0,0,0,0,0,0,1,0,5
118,0,1,1,1,1,1,0,1,0,0,1,3
119,1,1,1,0,1,0,0,1,1,0,1,1
120,1,1,1,1,1,1,1,1,1,0,0,7
121,0,0,0,0,0,1,0,1,1,0,1,2
122,1,1,0,1,1,1,0,1,1,0,1,3
123,1,1,1,1,1,1,0,0,1,1,1,3
124,1,0,1,0,1,1,0,0,1,0,0,4
125,1,1,1,1,1,1,1,1,0,1,0,5
126,0,0,0,0,0,1,0,0,1,1,0,5
127,0,0,0,1,1,0,0,0,0,0,1,1
128,1,0,1,0,1,0,0,0,0,0,1,5
129,0,1,1,0,1,0,1,0,0,0,1,7
130,1,0,0,1,0,1,0,1,1,0,0,4
131,0,1,0,1,1,1,1,1,1,1,1,2
132,1,1,1,1,1,1,1,1,1,1,1,3
133,1,1,1,1,0,1,0,0,1,1,1,1
134,1,0,1,0,0,1,0,0,0,1,1,4
135,1,1,1,1,0,1,0,1,0,1,0,4
136,1,1,1,0,1,0,1,0,0,1,0,5
137,0,0,0,1,0,0,0,1,1,1,1,20
138,1,0,1,0,1,0,1,1,1,0,0,5
139,1,1,0,1,0,0,0,0,0,1,0,5
140,1,1,1,0,1,1,0,0,1,0,1,6
141,1,1,0,1,0,0,0,0,0,1,1,3
142,1,0,1,1,1,1,0,0,0,1,0,1
143,0,1,1,1,0,0,0,0,1,1,1,1
144,1,1,1,1,1,0,0,1,1,0,1,9
145,0,1,0,1,0,1,1,1,1,1,1,3
146,0,1,0,1,1,1,0,0,0,0,1,3
147,1,1,1,0,1,0,0,0,0,0,1,2
148,1,1,1,1,1,1,0,1,0,1,1,4
149,0,1,0,1,0,0,0,0,1,0,1,4
150,1,1,1,0,1,0,0,0,0,1,0,5
151,0,1,0,0,0,1,0,0,1,1,0,10
152,0,1,1,0,1,0,0,0,0,0,1,5
153,1,0,1,0,1,0,0,1,1,0,0,3
154,1,1,1,1,1,0,0,0,0,1,0,4
155,1,1,1,1,1,1,1,0,0,1,0,6
156,1,0,1,0,1,1,1,1,0,1,1,1
157,1,1,0,1,0,1,0,1,1,0,0,1
158,0,1,0,1,0,1,0,0,0,0,1,6
159,0,1,0,0,0,0,0,0,1,0,0,6
160,1,0,1,0,1,0,1,1,0,1,1,4
161,1,0,1,1,0,1,0,0,1,0,0,1
162,1,0,1,0,1,1,1,1,1,0,0,2
163,0,0,1,0,1,0,0,0,1,1,1,6
164,1,1,0,1,0,1,0,0,1,1,0,2
165,1,0,1,1,0,0,0,0,1,0,1,5
166,1,0,1,0,0,0,0,0,0,0,0,1
167,1,0,1,1,0,1,1,1,1,0,1,1
168,0,1,0,0,0,0,0,1,1,1,0,11
169,0,1,0,1,0,1,0,0,1,0,1,2
170,1,0,1,0,0,0,0,0,1,1,1,5
171,0,1,1,1,1,0,1,0,0,0,1,1
172,0,0,0,0,1,0,1,0,1,1,1,12
173,1,1,0,1,0,1,0,1,0,1,0,4
174,0,0,1,0,1,0,1,1,1,1,1,1
175,1,1,0,1,0,1,0,0,1,0,1,4
176,0,1,1,1,0,1,0,0,1,1,1,2
177,1,1,0,0,0,0,0,0,0,1,0,4
178,0,1,0,1,1,1,0,0,1,1,1,1
179,0,0,0,0,0,1,0,0,0,1,1,4
180,1,1,1,1,1,0,1,1,1,0,1,6
181,1,1,1,1,0,0,0,0,0,1,0,3
182,1,1,1,0,0,1,0,0,1,0,1,5
183,1,0,1,1,1,1,1,1,1,0,1,9
184,1,0,0,1,0,1,0,0,0,1,1,1
185,0,1,0,1,0,0,0,0,0,1,1,1
186,1,0,0,0,0,1,0,0,1,0,1,1
187,0,1,1,1,0,0,0,0,1,0,1,4
188,1,1,0,0,0,0,0,1,0,1,1,1
189,1,0,1,1,1,1,0,1,1,0,1,2
190,1,0,1,0,1,1,0,1,0,1,1,4
191,1,0,0,0,1,0,1,0,0,1,1,8
192,1,0,0,1,0,0,0,0,1,1,1,2
193,1,0,1,1,0,1,0,1,1,0,0,3
194,1,1,0,1,1,1,0,0,1,0,1,5
195,1,1,1,1,0,1,0,0,0,1,0,7
196,0,1,1,1,0,1,0,0,0,0,1,1
197,1,0,0,0,0,1,0,1,0,1,1,2
198,1,0,1,0,1,0,0,0,1,1,0,1
199,1,0,0,0,0,0,1,0,0,1,1,2
200,1,1,0,1,0,0,0,1,1,0,1,1
201,0,0,1,0,1,0,0,0,0,0,1,1
202,0,1,0,1,0,1,0,0,1,0,0,6
203,1,1,1,1,1,0,1,1,0,1,1,2
204,0,0,1,0,0,0,1,0,1,1,1,2
205,0,0,0,1,0,1,1,0,1,1,1,1
206,1,1,1,0,1,1,1,0,1,0,1,6
207,1,1,1,1,0,1,0,1,0,1,1,5
208,1,1,0,1,0,1,0,0,0,1,0,5
209,0,1,0,1,0,1,1,0,1,1,0,1
210,0,0,1,0,0,0,0,0,1,0,1,1
211,1,0,1,1,1,0,0,1,0,1,1,3
212,0,0,0,0,0,1,1,1,1,1,1,1
213,1,0,0,0,0,0,0,1,1,0,1,1
214,1,1,1,1,0,0,0,1,1,0,1,2
215,0,1,0,0,0,1,0,0,1,0,1,1
216,0,1,1,1,0,1,0,1,1,0,1,1
217,1,1,1,0,0,0,0,0,0,1,1,3
218,1,0,0,1,0,1,0,0,1,0,0,3
219,0,1,1,1,0,0,0,0,0,0,1,3
220,1,0,0,1,0,1,0,0,1,0,1,2
221,0,1,1,1,1,1,0,0,1,0,1,3
222,0,0,0,0,0,1,0,0,1,0,1,2
223,0,0,0,0,0,0,0,1,0,1,1,4
224,0,0,1,1,0,1,0,0,1,1,1,1
225,1,1,1,1,0,0,0,0,1,0,0,3
226,1,1,1,0,1,0,0,0,1,0,1,2
227,0,0,0,0,0,0,0,0,0,0,1,4
228,1,1,1,0,0,0,0,0,1,1,1,1
229,1,0,1,1,1,0,0,0,1,0,1,6
230,0,0,0,0,0,1,0,1,1,1,0,2
231,1,1,1,0,0,0,0,0,0,1,0,4
232,1,0,1,0,1,1,1,1,1,0,1,1
233,1,1,1,0,1,0,0,1,0,1,0,1
234,1,1,1,1,0,1,1,1,1,0,1,4
235,1,0,0,1,0,1,0,1,1,0,1,1
236,1,1,1,1,1,0,0,0,1,1,1,1
237,1,0,1,0,0,0,1,0,1,1,1,1
238,0,0,1,0,0,1,0,1,0,0,0,1
239,0,1,0,1,1,0,0,0,1,0,1,1
240,0,1,0,1,0,1,1,1,0,0,1,2
241,1,0,1,0,0,1,0,1,0,1,1,2
242,0,1,0,1,1,0,0,1,1,1,0,1
243,0,1,0,1,0,1,1,0,0,0,1,5
244,1,1,1,1,1,1,0,1,0,1,0,4
245,0,0,1,1,0,0,0,0,1,1,1,3
246,0,1,1,1,1,1,1,0,1,0,1,2
247,1,1,0,1,1,0,1,1,1,0,1,1
248,0,1,0,1,0,1,0,1,0,1,0,7
249,0,1,0,0,0,0,0,1,1,0,1,1
250,1,1,0,0,0,0,0,0,0,1,1,4
251,0,0,0,0,0,0,0,1,1,1,0,8
252,1,1,0,1,0,1,1,0,1,0,1,1
253,0,0,0,0,1,0,1,1,0,0,0,1
254,1,0,1,0,1,0,1,0,0,1,0,3
255,0,0,0,0,1,0,0,0,1,0,1,1
256,0,1,0,1,0,1,0,1,0,1,1,4
257,0,1,1,1,1,1,0,1,1,0,1,1
258,1,1,1,1,0,1,0,1,1,0,0,1
259,0,0,1,0,1,0,1,0,1,1,1,3
260,0,1,1,1,1,1,0,1,1,1,1,2
261,1,1,1,1,0,1,0,0,0,0,1,2
262,1,1,1,0,1,1,0,1,1,0,1,3
263,1,1,1,1,1,1,1,1,0,0,1,3
264,0,0,0,1,1,1,0,0,0,0,0,1
265,1,1,1,0,1,1,0,0,1,0,0,1
266,0,0,1,1,1,1,1,0,1,0,1,1
267,0,1,0,1,0,1,0,0,0,1,1,1
268,0,1,1,0,1,0,1,1,0,0,1,1
269,0,1,0,1,0,1,0,0,0,1,0,3
270,0,0,0,1,0,0,1,0,1,1,1,2
271,0,1,1,1,1,1,1,0,0,0,1,1
272,0,1,1,0,1,1,1,1,1,0,1,1
273,1,0,0,1,0,0,0,0,1,0,0,3
274,1,0,0,0,0,0,0,0,1,0,0,3
275,1,0,1,1,0,1,0,0,1,0,1,4
276,1,0,1,0,0,1,0,0,1,0,0,3
277,0,0,1,1,1,1,0,0,1,0,1,1
278,1,0,1,0,1,1,0,1,1,0,0,1
279,1,1,0,0,0,0,0,0,0,0,1,5
280,1,0,0,1,0,1,0,0,1,1,1,1
281,0,1,1,0,0,0,0,0,1,1,1,2
282,1,1,1,0,0,0,0,1,1,0,1,4
283,0,0,1,1,1,1,0,0,1,1,1,3
284,0,0,0,1,0,1,0,1,1,1,0,8
285,1,1,1,1,0,0,0,0,0,0,1,3
286,1,1,1,1,0,0,0,1,0,1,1,1
287,0,1,0,1,1,1,0,1,1,1,0,1
288,1,0,0,0,0,1,0,0,0,1,1,2
289,1,0,1,1,1,0,0,0,1,0,0,2
290,0,1,0,0,1,0,0,0,1,1,0,1
291,1,0,0,1,0,0,0,1,1,0,1,1
292,0,1,1,1,1,1,1,1,1,1,1,1
293,0,0,0,0,0,1,0,1,0,1,1,2
294,0,1,1,1,1,1,1,1,0,0,1,2
295,0,1,0,0,1,0,1,0,1,1,1,1
296,1,0,1,1,1,1,0,0,0,1,1,1
297,1,0,1,0,0,0,0,0,1,1,0,2
298,0,1,1,1,0,1,0,1,1,1,1,3
