,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,Data,Data,Data,num
,0,1,0,1,0,1,0,1,0,1,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,36031
1,0,0,0,0,0,0,0,0,0,1,0,0,0,704
2,0,0,0,0,0,1,0,0,0,0,0,0,0,447
3,0,1,0,0,0,0,0,0,0,0,0,0,0,541
4,0,0,0,0,0,0,0,0,0,0,1,0,0,368
5,0,0,0,0,0,0,0,1,0,0,0,0,0,485
6,0,0,0,1,0,0,0,0,0,0,0,0,0,469
7,0,1,0,1,0,0,0,1,0,0,0,0,0,76
8,1,1,1,1,1,1,1,1,1,1,0,0,0,6
9,0,1,0,0,0,1,0,1,0,1,0,0,1,29
10,0,1,0,1,0,0,0,1,0,1,0,0,1,32
11,0,0,0,0,0,0,0,0,0,0,0,1,0,287
12,1,1,1,0,0,0,0,0,0,0,1,0,0,3
13,1,1,0,1,1,1,1,1,0,1,1,1,0,2
14,0,0,0,0,0,1,0,1,0,0,0,0,1,62
15,0,1,0,1,0,0,0,0,0,0,0,0,1,338
16,0,0,0,1,0,0,0,0,0,0,0,1,0,6
17,1,0,1,0,1,0,0,0,0,0,1,0,0,337
18,1,1,0,0,0,0,0,0,0,0,0,1,0,217
19,1,1,1,1,1,1,0,0,0,0,0,1,0,242
20,0,1,0,0,0,0,0,1,0,0,0,0,0,74
21,0,0,1,0,1,0,0,0,0,0,1,0,0,8
22,0,1,0,1,0,1,0,1,0,1,0,0,0,101
23,0,0,0,0,1,0,0,0,0,0,0,0,0,147
24,0,0,0,0,0,0,0,1,0,1,0,0,0,95
25,0,1,0,1,0,1,0,1,0,1,0,0,1,314
26,0,0,0,0,0,0,1,0,0,0,0,0,0,161
27,0,0,0,0,0,0,0,0,1,0,0,0,0,259
28,0,1,0,0,0,0,0,0,0,0,0,0,1,376
29,0,0,1,0,0,0,0,0,0,0,0,0,0,164
30,0,0,0,0,0,0,0,0,0,0,0,0,1,350
31,0,0,0,1,0,0,0,0,0,0,0,0,1,95
32,1,0,1,0,1,0,0,1,0,0,1,0,0,5
33,1,1,1,0,0,1,0,0,0,0,0,1,0,2
34,1,1,1,1,0,0,0,1,0,1,0,1,0,2
35,0,0,1,0,0,0,1,0,1,0,1,0,0,1
36,0,1,0,0,0,1,0,0,0,0,0,0,0,95
37,0,1,0,1,0,1,0,0,0,0,0,0,0,47
38,0,0,0,0,0,0,0,1,0,0,0,0,1,69
39,0,0,0,1,0,0,0,1,0,0,0,0,0,82
40,0,1,0,0,0,0,0,1,0,1,0,0,1,13
41,0,1,0,1,0,0,0,1,0,0,0,0,1,84
42,0,1,0,1,0,1,0,0,0,0,0,0,1,408
43,1,0,1,0,1,0,1,0,1,0,1,0,0,292
44,1,1,1,0,0,0,0,0,0,0,0,1,0,53
45,1,1,1,0,1,1,1,1,1,1,0,1,0,5
46,1,1,1,1,0,0,0,0,0,0,0,1,0,261
47,1,1,1,1,0,0,0,1,0,0,0,1,0,3
48,1,1,1,1,1,0,0,0,0,0,0,1,0,45
49,1,1,1,1,1,1,1,1,1,0,0,1,0,51
50,1,0,0,0,0,0,0,0,0,0,1,0,0,386
51,0,0,0,0,0,1,0,1,0,0,0,0,0,125
52,0,1,0,1,0,1,0,0,0,1,0,0,0,4
53,0,1,1,1,1,1,1,1,0,0,1,1,0,9
54,0,1,0,0,0,1,1,1,0,0,1,0,1,1
55,1,1,0,1,0,1,0,1,0,1,1,0,1,4
56,0,1,0,1,0,1,1,1,0,1,0,0,1,6
57,0,1,0,1,0,0,0,0,0,1,0,0,1,20
58,0,1,0,1,0,1,0,1,0,0,0,0,1,346
59,1,1,1,1,1,1,1,1,1,1,0,1,0,164
60,1,0,0,1,0,1,0,1,0,1,0,1,1,2
