,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,Data,Data,Data,num
,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32875
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,611
2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,446
3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,388
4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,306
6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,416
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,396
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,257
9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,372
10,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,6
11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,24
12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,27
13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,80
14,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,290
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,282
16,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,3
17,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,227
18,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,191
19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,263
20,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,294
21,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1
22,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,13
23,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,287
25,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,17
26,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,15
27,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
28,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,294
29,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,291
30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,123
31,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,50
32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,351
33,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
