,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,Data,Data,Data,num
,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,33955
1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,2
2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,17
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,402
4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,16
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,388
6,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,4
7,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,3
8,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,134
9,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,3
10,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,5
11,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,310
12,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,280
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,341
15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,363
16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,223
17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,206
18,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,47
19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,350
20,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,321
21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,185
22,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,356
23,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,343
24,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,10
25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3
26,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,130
27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,379
28,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
29,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,301
30,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,4
31,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1
32,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,121
33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,160
34,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1
35,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1
36,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1
37,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,12
38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,210
39,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,68
40,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,68
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,423
42,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,21
43,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,345
44,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,11
45,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,12
46,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,4
47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,303
48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,135
49,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,7
50,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,325
51,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,146
52,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,25
53,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1
54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,204
55,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,85
56,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,23
57,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,346
58,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,19
59,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1
60,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
61,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1
62,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,15
63,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,336
64,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,2
65,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,352
66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,310
67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,162
68,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,2
69,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,38
70,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,12
71,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1
72,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,8
73,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,14
74,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,8
75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,195
76,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,10
77,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,2
78,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1
79,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1
80,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3
81,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,2
82,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,152
83,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,16
84,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,6
85,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,24
86,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,11
87,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,3
88,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,3
89,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,8
90,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1
91,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,15
92,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,4
93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,154
94,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,4
