,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,Data,Data,Data,num
,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,34312
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,54
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,387
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,422
4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,7
5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,107
6,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,2
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,253
8,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,266
9,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,6
10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,222
11,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,2
12,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,329
13,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,315
14,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,255
15,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,382
16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,108
17,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,97
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,400
19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,347
20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,256
21,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1
22,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,231
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
24,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,279
25,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,2
26,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,4
27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,209
28,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,74
29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,211
30,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,329
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,358
32,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,337
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,374
