,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,stab_8,stab_8,Data,Data,Data,num
,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31296
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,128
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,129
3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,634
6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,418
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,403
8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,78
9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,404
10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,355
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9
12,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,8
13,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,66
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,227
15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,389
16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,11
17,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,270
19,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74
20,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13
21,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,281
22,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,260
23,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,278
24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145
25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,223
26,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,2
27,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,165
28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,159
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,262
30,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12
31,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20
32,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16
33,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,309
34,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,277
35,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,290
36,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,276
37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,79
38,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,6
39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,2
40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,278
41,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,8
42,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,300
43,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,201
44,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,273
45,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,31
46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,143
47,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,11
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,254
49,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,183
50,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1
51,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,5
52,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,59
53,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,190
54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463
55,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,15
56,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,13
57,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,270
58,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,288
59,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,285
60,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,2
61,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1
62,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2
