,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,stab_8,stab_8,Data,Data,Data,num
,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,32589
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,163
2,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1
3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,120
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,124
5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,59
6,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,300
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,8
8,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,17
9,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,51
10,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2
11,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,339
12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,210
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,342
14,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,18
15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,120
16,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,18
17,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,329
18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,357
19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6
20,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,9
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,51
22,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,322
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,176
24,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
25,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,324
26,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,324
27,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,325
28,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,4
29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,194
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,382
31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,216
32,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,3
33,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,11
34,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,6
35,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
36,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,10
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,309
38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,264
39,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,326
40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8
41,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1
42,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,2
43,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,359
44,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,11
45,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,301
46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,178
47,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,255
48,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,7
49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,355
50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,174
51,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,10
52,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,119
53,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,309
54,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,13
55,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1
56,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,125
57,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1
58,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,2
59,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1
60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,185
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,238
62,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1
63,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,276
64,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
65,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,3
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,412
67,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,4
68,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
69,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1
70,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,23
71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,155
72,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,8
73,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,49
74,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9
75,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,2
76,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,11
77,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,2
78,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,151
79,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,4
80,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,70
81,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,79
82,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1
83,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,63
84,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1
85,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,143
86,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,12
87,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,3
88,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,6
89,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,2
90,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,77
91,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,341
92,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,195
94,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,5
95,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,4
96,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,6
97,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,9
98,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
99,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
100,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,6
101,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,9
102,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
103,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,7
104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
105,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1
106,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1
107,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1
108,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,8
109,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,129
110,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
111,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,6
112,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1
113,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,70
114,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,10
115,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,157
116,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,64
