,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,stab_8,stab_8,Data,Data,Data,num
,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,33055
1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,355
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,409
3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,107
4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,56
5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,363
6,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,361
7,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,236
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,211
9,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,8
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,5
11,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,315
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,313
13,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,335
14,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,280
15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,232
16,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,92
17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,279
18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,304
19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,375
20,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,6
21,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,6
22,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,343
23,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,276
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,379
25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,5
26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,224
27,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1
28,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,289
29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,91
30,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
31,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,4
32,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,102
33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,209
34,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1
35,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,98
36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,367
37,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,4
38,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,48
39,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,302
40,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,4
41,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,56
42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,75
43,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3
44,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,122
45,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,250
46,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,3
47,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,3
48,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1
49,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,7
50,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,2
