,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,stab_8,stab_8,stab_9,stab_9,Data,Data,Data,num
,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,31587
1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1
2,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
3,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1
4,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1
5,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,282
6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,181
7,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,2
8,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1
9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,189
10,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
11,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,290
12,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,6
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,350
14,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1
15,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,300
16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,349
17,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
18,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2
19,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1
20,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,4
21,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,68
22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,124
23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,148
24,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,6
25,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,297
26,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,2
27,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,4
28,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3
29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,290
30,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,53
31,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,5
32,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,321
33,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,318
34,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,307
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,189
36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,7
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,392
38,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,2
39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,111
40,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,79
41,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1
42,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1
43,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,280
44,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1
45,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,6
46,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
47,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1
48,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,7
49,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,6
50,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
51,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1
52,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,263
53,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,261
54,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13
55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,251
56,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1
57,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,318
58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,148
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,380
60,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1
61,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1
62,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,299
