,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,stab_8,stab_8,stab_9,stab_9,Data,Data,Data,num
,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33275
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,749
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,420
3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,429
4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,245
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,414
8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,366
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,417
10,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,10
11,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,8
12,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,55
13,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,13
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,263
15,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,2
16,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,70
17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122
19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394
20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,213
21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
22,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,2
23,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,10
24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,122
25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
