,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,num
,0,1,2,3,0,1,2,3,4,simulation num
0,0,0,0,0,0,0,0,0,0,39621
1,0,0,0,0,0,0,0,0,1,1403
2,0,0,0,1,0,0,0,0,0,909
3,1,0,0,0,1,0,0,0,0,494
4,0,0,0,0,0,0,1,0,0,284
5,0,0,0,1,0,0,0,0,1,685
6,0,1,0,0,0,0,0,0,0,773
7,0,0,0,0,0,0,0,1,0,370
8,0,0,0,0,1,0,0,0,0,883
9,0,1,1,0,0,0,1,0,0,392
10,0,0,0,0,0,1,0,0,0,522
11,1,0,0,0,0,1,0,0,0,278
12,0,0,0,1,0,0,0,1,0,63
13,0,0,1,0,0,0,0,0,0,330
14,1,0,0,0,0,0,0,0,0,814
15,1,0,0,0,0,0,0,1,0,8
16,0,1,0,0,0,0,0,0,1,32
17,0,0,0,0,1,0,0,0,1,32
18,0,0,1,1,0,0,0,1,0,212
19,1,1,0,0,0,1,0,0,0,509
20,0,1,0,0,0,0,1,0,1,10
21,0,0,0,0,0,1,1,0,0,4
22,1,1,0,0,1,0,1,0,0,3
23,0,0,1,1,1,0,0,1,0,8
24,1,1,1,0,1,1,0,0,0,1
25,0,0,0,0,0,1,0,0,1,23
26,0,1,0,0,1,0,1,0,0,9
27,1,0,0,0,1,1,0,0,0,38
28,0,1,0,0,0,1,1,0,0,33
29,1,0,0,1,1,0,0,0,0,17
30,0,1,0,0,0,1,0,0,0,97
31,1,1,0,1,0,1,0,0,0,14
32,1,0,0,1,0,0,0,0,1,9
33,0,1,0,0,0,0,1,0,0,188
34,0,0,0,1,1,0,0,1,1,5
35,1,1,0,0,0,1,0,0,1,29
36,0,0,0,1,0,0,0,1,1,114
37,0,0,0,1,1,0,0,0,0,38
38,0,0,1,1,0,0,0,1,1,28
39,0,1,0,1,0,0,0,0,1,8
40,0,1,0,1,0,0,0,0,0,19
41,0,0,1,0,0,0,0,0,1,13
42,0,0,1,0,0,0,1,0,0,25
43,0,1,1,0,0,0,1,0,1,15
44,1,1,0,0,0,0,0,0,0,32
45,1,0,0,0,0,0,0,0,1,33
46,1,0,0,1,0,0,0,1,0,3
47,0,0,0,1,1,0,0,0,1,14
48,0,1,1,0,0,0,1,1,0,7
49,1,1,1,1,0,1,0,1,0,4
50,0,1,0,1,0,0,1,0,0,6
51,1,0,0,1,0,0,0,1,1,5
52,0,0,1,0,0,1,0,0,0,4
53,1,0,0,0,1,0,0,0,1,17
54,0,0,1,0,1,0,0,0,0,8
55,1,0,0,0,0,0,1,0,0,6
56,1,0,0,1,1,0,0,0,1,13
57,1,0,1,0,1,0,0,0,0,5
58,0,0,1,0,0,0,0,1,0,58
59,0,1,1,1,0,0,1,0,1,9
60,1,1,0,0,0,1,1,0,0,9
61,0,0,0,1,0,1,0,0,0,12
62,0,1,0,1,0,0,1,0,1,6
63,0,0,0,0,1,1,0,0,0,12
64,1,0,0,1,0,0,0,0,0,14
65,1,0,1,0,0,0,0,0,1,1
66,0,1,0,0,0,0,0,1,0,8
67,1,1,0,0,1,1,0,0,0,18
68,1,1,0,0,0,0,0,1,0,1
69,1,0,0,0,0,1,1,0,0,4
70,0,0,0,1,1,1,0,0,0,2
71,0,0,0,0,0,0,0,1,1,15
72,1,0,0,0,0,1,0,0,1,10
73,1,0,0,0,1,0,1,0,0,4
74,1,1,0,1,0,1,0,1,1,2
75,0,0,1,0,0,0,1,1,0,2
76,0,1,0,1,1,0,0,0,0,1
77,0,0,0,1,0,0,1,0,0,8
78,0,1,1,0,0,0,0,0,0,11
79,1,1,1,0,0,0,1,0,0,8
80,0,0,0,1,1,1,0,1,0,1
81,0,1,1,0,1,0,1,0,0,5
82,0,1,1,0,1,1,1,0,0,1
83,0,0,1,1,0,0,0,0,1,17
84,0,1,0,1,0,0,1,1,1,1
85,0,0,0,1,0,1,0,1,1,2
86,0,0,0,0,0,1,0,1,0,5
87,0,1,0,0,1,0,0,0,0,20
88,0,0,1,1,0,0,0,0,0,19
89,1,1,0,0,0,0,1,0,0,5
90,1,0,1,1,1,0,0,1,0,2
91,1,1,1,0,0,1,0,0,0,3
92,0,1,0,0,1,1,0,0,0,7
93,0,0,0,0,0,1,0,1,1,1
94,1,0,0,0,1,0,0,1,0,3
95,0,1,0,1,0,0,1,1,0,2
96,1,0,0,1,0,1,0,0,1,5
