,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,num
,0,1,2,3,0,1,2,3,4,simulation num
0,0,0,0,0,0,1,1,1,1,1544
1,0,0,0,0,1,1,1,1,1,39190
2,0,0,0,0,1,1,1,1,0,1316
3,0,0,0,1,1,1,1,1,1,822
4,0,0,0,0,1,0,1,1,1,460
5,1,0,0,0,0,1,1,1,1,538
6,0,0,0,0,1,1,1,0,1,359
7,0,1,1,0,1,1,0,1,1,470
8,0,1,0,0,1,1,1,1,0,31
9,0,0,1,1,1,1,1,0,1,241
10,0,0,0,1,1,1,1,1,0,450
11,0,0,1,0,1,1,1,1,1,346
12,1,0,0,0,1,1,1,1,1,754
13,0,1,0,0,1,1,1,1,1,945
14,0,0,0,1,0,1,1,1,1,43
15,0,0,0,1,1,1,1,0,0,105
16,1,1,0,0,1,0,1,1,1,502
17,1,0,0,0,0,1,1,1,0,18
18,0,0,0,0,1,1,0,1,1,286
19,0,0,0,0,0,1,1,1,0,61
20,0,0,0,0,1,0,1,1,0,12
21,1,1,0,0,0,0,1,1,1,27
22,1,0,1,0,0,1,1,1,1,7
23,0,0,0,1,0,1,1,1,0,21
24,1,0,0,1,0,1,0,1,1,1
25,0,1,1,0,1,1,1,1,1,35
26,1,1,0,0,1,1,1,1,1,154
27,0,1,0,0,1,0,1,1,1,67
28,1,0,0,0,1,0,1,1,1,156
29,0,1,0,0,1,1,0,1,1,162
30,0,1,0,0,1,0,1,1,0,8
31,1,1,0,1,0,1,0,1,0,1
32,1,0,0,0,1,1,1,0,1,7
33,0,0,0,1,1,0,1,0,1,1
34,0,0,0,0,0,0,1,1,1,22
35,0,0,1,0,1,1,1,0,1,64
36,1,0,0,1,1,1,1,0,0,3
37,1,0,0,1,1,1,1,0,1,1
38,0,1,0,1,1,1,1,1,1,16
39,0,1,1,1,1,1,0,1,1,7
40,0,1,0,0,0,0,1,1,1,10
41,1,1,0,1,1,1,1,1,1,4
42,1,1,0,0,1,1,0,1,1,9
43,1,0,0,0,0,0,1,1,1,37
44,0,1,1,1,1,1,1,0,1,5
45,1,0,0,0,0,1,0,1,1,6
46,1,0,0,1,0,1,1,1,1,9
47,0,1,1,0,1,1,0,1,0,15
48,0,0,0,0,1,1,0,0,1,6
49,0,0,0,1,0,1,1,0,0,5
50,0,0,1,0,1,1,0,1,1,17
51,0,0,1,0,1,1,1,0,0,7
52,1,0,0,1,1,0,1,1,1,3
53,0,0,0,1,1,0,1,1,0,8
54,0,1,0,0,1,0,0,1,1,30
55,1,0,1,1,0,1,1,0,1,4
56,0,0,0,1,1,1,1,0,1,50
57,0,0,1,1,1,1,1,1,1,22
58,1,0,0,0,0,0,1,1,0,4
59,1,1,0,0,0,1,1,1,1,17
60,0,0,1,1,1,1,1,0,0,18
61,0,0,1,0,0,1,1,1,1,22
62,1,1,1,1,1,0,1,1,1,1
63,1,0,0,0,1,0,0,1,1,2
64,0,0,1,1,1,1,0,0,0,2
65,0,1,0,0,1,1,0,1,0,4
66,0,1,0,0,0,1,1,1,1,33
67,0,0,1,0,1,1,1,1,0,16
68,1,1,1,0,1,1,1,1,1,3
69,1,0,1,0,1,1,1,1,1,8
70,1,0,0,1,1,1,1,1,0,14
71,1,0,0,1,0,1,1,1,0,6
72,0,1,0,1,1,0,1,1,1,1
73,0,0,1,0,1,1,0,0,1,2
74,0,1,0,0,0,1,0,1,1,9
75,0,0,1,1,0,1,1,0,1,5
76,0,0,0,0,1,1,1,0,0,8
77,1,0,0,0,1,0,1,1,0,5
78,1,0,0,0,0,1,1,0,1,7
79,0,1,0,1,0,1,1,0,0,1
80,1,0,1,1,0,1,1,1,1,1
81,1,0,1,1,1,1,1,0,1,4
82,0,0,0,0,0,1,0,1,0,1
