,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,num
,0,1,2,3,0,1,2,3,4,simulation num
0,0,0,0,0,1,1,1,1,1,39247
1,0,0,0,1,1,1,1,1,0,445
2,0,0,0,0,1,1,1,0,1,446
3,1,0,0,0,0,1,1,1,1,579
4,0,0,0,0,0,1,1,1,1,1515
5,0,1,0,0,1,1,1,1,1,1025
6,0,0,1,0,1,1,1,1,1,307
7,0,1,1,0,1,1,0,1,1,460
8,1,0,0,0,1,1,1,1,1,968
9,0,0,0,0,1,1,1,1,0,358
10,1,0,0,1,0,1,1,1,1,17
11,0,0,0,0,1,1,0,1,1,500
12,0,1,0,0,1,1,0,1,1,82
13,1,1,0,0,1,0,1,1,1,479
14,0,0,1,1,1,1,0,0,1,7
15,0,0,0,0,1,0,1,1,1,647
16,0,0,0,1,1,1,1,1,1,1098
17,1,0,0,1,1,1,1,1,1,25
18,0,1,1,0,1,1,1,1,1,19
19,0,0,0,1,0,1,1,1,1,47
20,1,1,0,0,1,1,1,1,1,125
21,0,0,0,1,1,1,1,0,1,80
22,1,0,0,0,1,0,1,1,1,232
23,0,0,1,1,1,1,1,0,1,269
24,1,1,0,0,1,0,1,1,0,5
25,0,1,0,0,1,0,1,1,1,63
26,1,0,0,0,1,1,1,0,1,16
27,1,0,1,1,1,1,1,0,1,10
28,1,0,0,0,0,0,1,1,1,25
29,0,0,0,0,0,1,1,0,1,18
30,1,1,0,0,1,0,1,0,1,5
31,0,0,1,1,0,1,1,0,1,14
32,0,1,0,0,0,1,1,1,1,42
33,0,0,0,0,1,1,0,1,0,8
34,1,1,0,0,0,1,1,1,1,18
35,0,1,0,1,1,1,1,1,1,31
36,1,0,0,0,0,1,1,0,1,5
37,0,1,1,1,1,1,1,0,1,7
38,0,0,1,0,1,1,1,0,1,156
39,0,0,1,1,1,1,1,0,0,5
40,0,0,0,1,0,1,1,1,0,18
41,1,0,1,0,1,0,1,0,1,2
42,0,0,1,0,1,1,0,1,1,21
43,1,0,0,0,1,0,1,0,1,2
44,1,0,1,0,1,1,1,1,1,7
45,0,0,0,0,0,0,1,1,1,32
46,0,1,0,1,1,0,1,1,0,3
47,0,1,1,0,1,0,0,1,1,6
48,0,0,0,1,1,1,0,1,1,18
49,0,1,1,0,0,1,0,1,1,18
50,0,1,1,0,1,1,0,1,0,6
51,1,0,0,1,0,1,1,1,0,9
52,0,0,0,0,0,1,1,1,0,17
53,1,0,0,1,1,1,1,1,0,12
54,1,0,0,0,1,1,0,1,1,16
55,1,1,0,0,0,0,1,1,1,22
56,1,0,1,0,1,0,0,1,1,7
57,1,1,0,1,1,1,1,1,1,3
58,1,1,0,1,1,1,0,0,1,1
59,1,1,1,0,1,0,1,0,1,1
60,1,1,0,0,1,1,0,1,1,6
61,0,0,0,0,1,0,1,1,0,6
62,0,1,0,0,1,0,0,1,1,3
63,0,1,1,1,1,1,0,1,1,16
64,0,0,1,0,0,1,1,1,1,12
65,0,0,0,0,0,1,0,1,1,28
66,0,0,1,1,1,1,1,1,1,16
67,1,0,0,0,1,1,1,1,0,11
68,1,1,0,1,1,1,1,1,0,4
69,0,0,0,1,1,0,1,1,1,16
70,0,1,0,1,1,1,1,1,0,13
71,1,0,0,0,1,0,1,1,0,3
72,0,0,1,0,1,0,1,0,1,2
73,1,1,0,1,1,0,1,1,0,4
74,0,1,1,0,1,1,0,0,1,3
75,0,1,0,0,0,0,1,1,1,7
76,0,1,0,0,1,1,1,0,1,10
77,1,1,1,0,1,1,0,1,1,11
78,1,1,1,0,1,1,1,0,1,1
79,1,0,1,0,1,1,0,1,1,1
80,1,0,1,0,0,1,1,1,1,8
81,1,1,0,1,1,0,1,1,1,10
82,0,0,0,1,1,1,0,1,0,7
83,0,0,0,0,1,1,1,0,0,2
84,1,1,1,1,1,0,1,0,1,4
