,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,num
,0,1,2,3,4,5,6,7,8,9,10,11,0,1,2,3,4,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27643
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,402
2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,37
3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,352
4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,677
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2434
7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,336
8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295
9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2800
10,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,12
11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48
12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,881
13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,471
14,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,5
15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
16,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85
18,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,102
19,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,38
20,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,442
21,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,508
22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,40
23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,509
24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
25,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,12
26,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,39
27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,901
28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,380
29,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3
30,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,40
31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,262
32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,213
34,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2
35,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,430
36,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76
37,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5
38,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,351
39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,132
40,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,43
41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,448
