,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,Data,Data,num
,0,1,2,3,0,1,2,3,0,1,2,3,4,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,34900
1,0,0,0,0,1,0,0,0,0,0,0,0,0,559
2,1,0,0,0,0,0,0,0,0,0,0,0,0,252
3,0,0,0,0,0,0,0,0,0,1,0,0,0,623
4,0,0,0,1,0,0,0,0,0,0,0,0,0,1052
5,0,0,1,0,0,0,0,0,0,0,0,0,0,138
6,1,0,0,0,1,1,0,0,0,1,0,0,0,28
7,0,1,1,0,0,0,0,0,0,0,1,0,0,216
8,1,1,0,0,1,0,0,0,0,1,0,0,0,141
9,1,0,0,0,0,0,0,0,0,1,0,0,0,269
10,1,1,0,0,0,1,0,0,1,1,0,0,0,2
11,1,0,0,0,0,0,0,0,1,1,0,0,0,30
12,0,0,0,1,0,0,0,0,0,0,0,1,0,33
13,0,0,0,0,0,0,0,0,0,0,0,1,0,320
14,0,0,0,0,0,0,0,0,0,0,0,0,1,816
15,1,1,0,0,1,1,0,0,0,1,0,0,0,400
16,0,0,0,0,0,0,0,0,1,0,0,0,0,760
17,0,0,0,0,1,0,0,0,0,0,0,1,0,6
18,0,1,1,0,0,1,1,0,0,0,1,0,0,305
19,1,0,0,0,0,0,0,0,1,0,0,0,0,789
20,0,0,0,0,0,0,1,0,0,0,0,0,0,267
21,0,0,0,1,0,0,0,0,0,0,0,0,1,750
22,0,1,1,0,0,1,0,0,0,1,1,0,0,10
23,0,0,0,0,0,0,0,1,0,0,0,0,0,694
24,1,0,0,0,1,0,0,0,0,0,0,0,0,203
25,1,0,0,0,1,0,0,0,1,0,0,0,0,380
26,0,0,0,0,0,0,0,0,0,0,1,0,0,209
27,0,0,1,1,0,0,0,1,0,0,0,1,0,57
28,0,1,0,0,0,1,0,0,0,0,1,0,1,2
29,1,1,0,0,0,0,0,0,0,1,0,0,0,406
30,0,0,1,1,0,0,0,0,0,0,0,1,0,297
31,0,1,0,0,1,1,0,0,1,1,0,0,0,14
32,1,1,0,0,0,1,0,0,0,1,0,0,0,46
33,1,0,0,0,1,0,0,0,0,1,0,0,0,68
34,0,0,0,1,0,0,0,1,0,0,0,0,1,431
35,0,1,1,0,0,0,1,0,0,0,1,0,0,14
36,1,1,0,0,1,0,0,0,0,1,0,0,1,2
37,0,0,0,1,0,0,0,0,0,0,0,1,1,10
38,1,1,0,1,1,1,0,0,0,1,0,0,1,12
39,0,1,0,0,1,0,0,0,0,1,0,0,0,39
40,0,1,0,0,0,0,0,0,0,1,0,0,0,75
