,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,Data,Data,num
,0,1,2,3,0,1,2,3,0,1,2,3,4,simulation num
0,0,0,0,0,0,0,0,0,1,1,1,1,1,35245
1,0,0,1,1,0,0,0,1,1,1,1,0,1,67
2,0,1,1,0,0,1,0,0,1,1,0,1,1,144
3,0,1,1,0,0,1,1,0,1,1,0,1,1,348
4,0,0,0,0,0,0,0,0,1,0,1,1,1,407
5,0,0,0,1,0,0,0,1,1,1,1,1,0,329
6,0,0,0,0,0,0,0,1,1,1,1,1,1,491
7,0,0,0,1,0,0,0,0,1,1,1,0,0,17
8,0,0,1,1,0,0,1,1,1,1,1,0,1,230
9,1,0,0,0,1,1,0,0,1,0,1,1,1,23
10,0,0,0,0,0,1,0,0,1,1,1,1,1,681
11,0,0,0,0,0,0,0,0,1,1,1,0,1,348
12,0,1,1,0,0,0,0,0,1,1,0,1,1,235
13,1,0,0,0,1,0,0,0,0,1,1,1,1,394
14,0,0,0,0,0,0,0,0,0,1,1,1,1,1336
15,1,0,0,0,0,0,0,0,1,1,1,1,1,296
16,0,0,0,0,0,0,0,0,1,1,1,1,0,788
17,0,0,1,1,0,0,0,1,1,1,1,1,1,43
18,0,1,1,0,0,0,1,0,1,1,0,1,1,20
19,1,0,0,1,1,0,0,1,1,1,1,1,1,1
20,1,0,0,0,0,0,0,0,0,1,1,1,1,549
21,1,1,0,0,1,0,0,0,1,0,0,1,1,4
22,0,0,1,1,0,1,0,1,1,1,1,0,1,1
23,0,0,0,1,0,0,0,0,1,1,1,1,0,662
24,1,0,0,0,1,0,0,0,1,1,1,1,1,195
25,0,0,1,1,0,0,0,0,1,1,1,0,1,238
26,1,0,0,1,1,0,0,0,0,1,1,1,0,14
27,1,1,0,0,0,0,0,0,1,0,1,1,1,294
28,0,1,0,0,0,0,0,0,1,1,0,1,1,104
29,0,1,0,0,0,1,0,0,0,1,1,1,1,4
30,0,0,0,0,1,0,0,0,1,1,1,1,1,578
31,0,0,0,1,0,0,0,0,1,1,1,1,1,796
32,0,0,0,0,1,1,0,0,1,1,1,1,1,39
33,1,1,0,0,1,0,0,0,1,0,1,1,1,118
34,0,0,0,1,0,0,0,1,1,1,1,1,1,298
35,0,0,1,1,0,0,0,1,1,1,1,1,0,22
36,0,1,0,0,0,0,0,0,1,1,1,1,1,495
37,0,0,1,0,0,0,0,0,1,1,1,1,0,4
38,1,0,0,0,0,0,0,0,1,0,1,1,1,84
39,1,1,0,0,0,0,0,0,1,1,1,1,1,137
40,0,0,0,0,0,0,0,0,1,1,0,1,1,269
41,0,0,1,0,0,0,1,0,1,1,1,1,1,11
42,0,0,0,0,0,0,1,0,1,1,1,1,1,326
43,0,0,0,0,0,0,0,0,0,1,1,1,0,29
44,0,1,0,0,0,1,0,0,1,0,1,1,1,10
45,0,0,0,1,0,0,0,0,0,1,1,1,0,30
46,0,0,0,1,0,1,0,1,1,1,1,1,1,8
47,0,0,1,0,0,0,0,0,1,1,1,1,1,200
48,0,1,0,0,1,1,0,0,1,1,1,1,1,30
49,1,1,0,0,1,0,0,0,1,1,1,1,1,17
50,0,0,0,0,0,0,0,0,0,0,1,1,1,12
51,0,0,0,1,0,1,1,0,1,1,1,1,0,1
52,0,1,0,1,0,0,0,1,1,1,0,1,0,1
53,0,1,0,0,0,0,0,0,0,1,1,1,1,24
54,0,1,0,0,0,0,1,0,1,1,1,1,1,8
55,1,1,0,0,1,1,0,0,1,0,1,1,0,12
56,1,0,1,0,1,0,0,0,0,1,1,1,1,1
57,0,1,0,0,0,1,0,0,1,1,1,1,1,82
58,1,1,0,0,0,1,0,0,1,0,1,1,1,39
59,1,1,0,0,0,0,0,0,0,0,1,1,1,13
60,1,1,0,0,1,1,0,0,1,0,1,1,1,440
61,0,1,1,0,0,1,1,0,1,1,0,1,0,9
62,0,0,1,1,0,0,1,1,1,1,1,1,1,11
63,0,1,1,0,0,1,0,0,1,0,0,1,1,3
64,1,0,0,1,1,0,0,1,0,1,1,1,0,9
65,1,0,0,0,0,0,0,0,0,1,1,0,1,5
66,1,1,0,0,1,0,0,0,0,1,1,1,1,12
67,0,1,1,0,0,0,0,0,1,1,0,1,0,5
68,0,0,0,0,0,0,0,1,1,1,1,1,0,21
69,1,0,0,0,1,1,0,0,0,1,1,1,1,8
70,0,0,0,0,0,1,0,1,1,1,1,1,1,13
71,0,0,1,0,0,1,0,0,1,1,0,1,1,10
72,0,0,1,0,0,0,0,0,1,1,1,0,1,71
73,1,0,1,0,0,0,0,0,1,1,1,1,1,1
74,1,0,0,0,0,0,0,0,0,1,0,1,1,5
75,0,0,1,0,0,1,1,0,1,1,0,1,1,17
76,1,0,1,1,0,0,0,0,1,0,0,1,0,1
77,0,0,0,1,0,0,0,1,1,1,1,0,1,38
78,1,1,1,0,1,1,1,0,0,1,0,1,1,7
79,1,1,1,0,0,1,0,0,1,1,1,1,1,9
80,1,1,0,1,0,1,0,1,1,1,1,1,0,1
81,0,1,0,0,0,1,1,0,1,0,0,1,1,1
82,0,1,1,0,0,1,0,0,1,1,1,1,1,10
83,0,0,0,1,0,0,0,0,1,1,0,1,1,5
