,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,Data,Data,num
,0,1,2,3,0,1,2,3,0,1,2,3,4,simulation num
0,0,0,0,0,0,0,0,0,1,1,1,1,1,35343
1,0,0,0,0,0,0,0,0,0,1,1,1,1,1356
2,0,0,0,0,1,0,0,0,1,1,1,1,1,558
3,0,1,1,0,0,1,1,0,1,0,0,1,1,6
4,0,0,0,1,0,0,0,1,1,1,1,1,1,436
5,0,0,0,0,0,0,0,1,1,1,1,1,1,502
6,0,0,0,1,0,0,0,0,1,1,1,1,1,373
7,0,0,0,1,0,0,0,0,1,1,1,0,1,80
8,1,0,0,0,1,0,0,0,0,1,1,1,1,418
9,1,0,0,0,0,0,1,0,1,1,1,1,1,1
10,1,1,0,0,0,0,0,0,1,1,1,1,1,107
11,0,0,1,0,0,0,0,0,1,1,1,0,1,81
12,0,0,0,0,0,0,1,0,1,1,1,1,1,251
13,0,0,1,1,0,0,0,0,1,1,0,0,1,2
14,0,0,1,1,0,0,1,1,1,1,1,0,1,234
15,0,1,0,0,0,0,0,0,1,1,1,1,1,546
16,0,0,0,0,0,0,0,0,1,1,0,1,1,422
17,0,0,0,0,1,0,0,0,0,1,1,1,1,34
18,0,0,0,0,0,0,0,0,1,0,1,1,1,531
19,0,0,0,0,0,0,0,0,0,1,0,1,1,16
20,1,1,0,0,1,0,0,0,1,0,1,1,1,237
21,1,1,0,0,0,0,0,0,1,0,1,1,1,557
22,0,0,0,1,0,0,0,0,1,1,1,1,0,336
23,0,0,0,1,0,0,0,1,1,1,1,1,0,382
24,1,0,0,0,1,1,0,0,0,1,1,1,1,11
25,1,0,0,0,0,0,0,0,0,1,1,1,1,452
26,0,0,0,0,0,0,0,0,1,1,1,1,0,344
27,0,1,1,0,0,1,1,0,1,1,0,1,1,379
28,1,1,0,0,1,1,0,0,1,0,1,1,1,421
29,1,0,0,0,0,1,0,0,1,1,1,1,1,38
30,0,0,0,0,0,1,0,0,1,1,1,1,1,734
31,0,0,0,0,0,0,0,1,0,1,1,1,1,19
32,0,1,1,0,0,1,0,0,1,1,0,1,1,80
33,0,1,0,0,0,1,0,0,1,1,1,1,1,191
34,0,0,1,0,0,0,0,0,1,1,1,1,1,122
35,0,0,1,1,0,0,1,0,1,1,1,0,1,126
36,0,1,1,0,0,0,0,0,1,1,0,1,1,409
37,0,1,0,0,0,1,0,0,0,1,1,1,1,7
38,0,1,1,1,0,1,1,0,1,1,0,1,1,4
39,0,0,0,0,0,0,0,0,1,1,1,0,1,396
40,1,0,0,0,1,0,0,0,1,1,1,1,1,265
41,0,0,1,0,0,0,0,1,1,1,1,0,0,6
42,0,1,0,0,0,0,0,0,1,1,0,1,1,99
43,1,1,0,0,0,0,0,0,1,0,1,0,1,6
44,1,1,0,0,0,1,0,0,1,1,1,1,1,33
45,1,0,0,0,0,0,0,0,1,1,1,1,1,293
46,1,1,0,0,0,0,0,0,0,0,1,1,1,22
47,0,0,1,0,1,0,1,1,1,1,1,0,1,1
48,0,0,1,1,0,0,0,0,1,1,1,0,1,330
49,1,0,0,0,1,1,0,0,1,1,1,1,1,29
50,1,1,0,0,1,1,0,0,1,1,1,1,1,33
51,0,1,0,0,0,0,0,0,0,1,0,1,1,9
52,1,1,0,1,0,0,0,1,1,0,1,1,1,3
53,0,0,1,1,0,0,0,1,1,1,1,0,1,74
54,0,1,0,0,1,1,0,0,1,1,1,1,1,26
55,1,1,0,0,1,0,0,0,1,0,0,1,1,5
56,0,0,0,1,1,0,0,1,1,1,1,1,1,12
57,1,0,0,0,0,0,0,0,1,0,1,1,1,192
58,0,0,1,0,0,0,1,0,1,1,1,1,1,11
59,0,0,0,0,0,0,0,0,0,1,1,0,1,16
