,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_3,stab_3,stab_3,stab_3,Data,Data,Data,Data,Data,num
,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,4,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31626
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,516
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210
3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,654
4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,496
5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,480
6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,17
7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,254
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,80
9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,568
10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76
11,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,88
12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,128
13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,248
14,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,8
15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,229
16,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,356
17,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,317
18,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,27
19,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,31
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,497
21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,45
22,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,290
24,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,403
25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345
26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,560
27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,688
28,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,245
29,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,587
30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,482
31,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,7
32,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,115
33,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5
34,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,23
35,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,2
36,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,24
37,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,239
38,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
39,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,305
40,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,23
41,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,5
42,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5
43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,557
44,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,47
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,201
46,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,220
47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,57
48,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,276
49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,327
50,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1
51,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,146
52,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,7
53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,275
54,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6
55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,217
56,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,9
57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4
58,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,3
59,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,111
60,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9
61,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,8
62,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,148
63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,665
64,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76
65,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,192
66,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,2
67,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,30
68,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1
69,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25
70,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,90
71,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,102
72,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1
73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3
74,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,2
75,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
76,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,3
77,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,12
78,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,3
79,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,2
80,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,2
81,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,3
82,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1
83,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,6
84,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,32
85,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1
86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
87,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1
88,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
89,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
90,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,209
91,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6
92,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,37
