,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_3,stab_3,stab_3,stab_3,Data,Data,Data,Data,Data,num
,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,4,simulation num
0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,403
1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,9
2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,31983
3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,20
4,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,453
5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,281
6,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,296
7,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,377
8,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,189
9,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1
10,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,339
11,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4
12,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1
13,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,4
14,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,203
15,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,218
16,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,9
17,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3
18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,553
19,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,187
20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1205
21,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,474
22,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,53
23,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,300
24,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,336
25,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,10
26,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,336
27,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,60
28,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1
29,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,419
30,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,483
31,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,18
32,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,244
33,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,275
34,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,2
35,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,147
36,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,6
37,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,272
38,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,53
39,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,4
40,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,2
41,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,85
42,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,19
43,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,7
44,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
45,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1
46,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,420
47,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,4
48,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,482
49,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,456
50,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,192
51,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,569
52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,366
53,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,5
54,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,5
55,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,6
56,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,160
57,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,3
58,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,394
59,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,241
60,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,89
61,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,163
62,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,32
63,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,146
64,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,135
65,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5
66,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,111
67,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,9
68,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3
69,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,20
70,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,4
71,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,2
72,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1
73,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,4
74,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1
75,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1
76,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,91
77,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,16
78,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1
79,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,35
80,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,13
