,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_3,stab_3,stab_3,stab_3,stab_4,stab_4,stab_4,stab_4,Data,Data,Data,Data,Data,num
,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,4,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28311
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,210
2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308
3,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,292
4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
5,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,181
6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,468
7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,172
8,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,302
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,368
10,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,160
11,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,14
13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
14,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,10
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300
16,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
17,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,225
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,522
19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,400
20,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,4
21,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9
22,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1
23,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,563
24,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,285
25,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,2
26,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,185
27,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,536
28,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,268
29,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181
31,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,83
32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,333
33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,423
34,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2
35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
36,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,5
37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
38,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,6
39,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,128
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8
41,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,243
42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,443
43,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4
44,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5
45,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,4
46,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,385
47,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
48,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,14
49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,585
50,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,113
51,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,263
52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,84
53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491
54,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,3
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,439
56,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,593
58,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,154
59,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,214
60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,192
61,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7
62,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,224
63,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,9
64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,11
65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,59
66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
67,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4
68,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,4
69,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,144
70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195
71,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,2
72,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,153
73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,116
74,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2
75,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,11
77,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,13
78,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,161
79,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
80,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
81,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2
82,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,73
83,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,451
84,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
85,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,8
86,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1
87,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4
88,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
89,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,11
90,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1
91,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1
92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
93,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,11
94,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4
95,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
96,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7
97,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,79
98,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,80
99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,105
100,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36
101,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
102,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,2
