,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_3,stab_3,stab_3,stab_3,stab_4,stab_4,stab_4,stab_4,Data,Data,Data,Data,Data,num
,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,4,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,283
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,465
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,29466
3,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,308
4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,261
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,244
6,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,5
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,354
8,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1
9,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,250
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1136
11,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,94
12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,555
13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,343
14,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,26
15,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,357
17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,340
18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,233
19,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1
20,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,153
21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,6
22,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,140
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,435
24,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,209
25,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,231
26,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,7
27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,160
28,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,19
29,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
30,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1
31,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,334
32,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,77
33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,411
34,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,23
35,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10
36,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,329
37,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,2
38,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,10
39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,224
40,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9
41,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,5
42,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,336
43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,74
44,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,8
45,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,5
46,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,2
47,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,11
48,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,33
49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,331
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,337
51,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,23
52,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,10
53,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1
54,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,2
55,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1
56,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,135
58,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1
59,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,2
60,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,310
61,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,183
62,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,4
63,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,6
64,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,4
