,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_3,stab_3,stab_3,stab_3,stab_4,stab_4,stab_4,stab_4,Data,Data,Data,Data,Data,num
,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,4,simulation num
0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,360
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,28494
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,190
3,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,56
4,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,91
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1121
6,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,168
7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,105
8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,534
9,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,287
10,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,164
11,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,292
12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,285
13,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,2
14,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1
15,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,363
16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,253
17,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,25
18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,185
19,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,250
20,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,340
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,363
22,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,306
23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,316
24,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1
25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,353
26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,123
27,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,198
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,449
29,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,67
30,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,175
31,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,19
32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,433
33,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,3
34,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,397
35,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,14
36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,434
37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,283
38,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,83
39,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1
40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,38
41,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1
42,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,7
43,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,23
44,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,304
45,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,6
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,386
47,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,22
48,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,14
49,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,131
50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,13
51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,11
52,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1
53,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,20
54,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,3
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,17
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,322
57,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1
58,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,16
59,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,196
60,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,12
61,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,5
62,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,40
63,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1
64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,159
65,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,161
66,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,362
67,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,313
68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,10
69,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,19
70,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,381
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,276
72,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,9
73,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,258
74,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,3
75,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,3
76,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1
77,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,6
78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,4
79,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,73
80,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5
81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,9
82,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,5
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4
84,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1
85,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1
86,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2
87,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,27
88,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,169
89,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,6
90,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,5
91,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,281
92,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3
93,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,85
94,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,56
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,19
96,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,87
97,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,5
98,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,7
99,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,6
100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,6
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,192
102,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1
103,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10
104,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,49
105,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,5
106,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1
107,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,23
108,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2
