,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,Data,Data,num
,0,1,2,3,4,5,0,1,2,3,4,5,6,simulation num
0,0,0,0,0,0,0,1,1,1,1,1,1,1,34815
1,0,0,0,0,0,0,1,1,0,1,1,1,0,43
2,0,0,1,0,0,0,1,1,1,1,1,1,1,723
3,0,0,0,0,0,1,1,1,1,1,1,1,1,821
4,0,0,0,0,0,0,1,1,1,1,1,0,1,317
5,1,1,0,0,0,0,1,0,1,1,1,1,1,489
6,0,1,0,0,0,0,1,1,1,1,1,1,1,379
7,1,0,0,0,0,0,1,1,1,1,1,1,1,1121
8,0,0,0,0,0,1,1,1,1,1,1,1,0,474
9,0,0,0,1,0,0,1,1,1,1,1,1,0,39
10,0,0,0,0,0,0,1,1,0,1,1,1,1,1259
11,0,0,0,0,1,0,1,1,1,1,1,1,1,270
12,0,0,0,0,0,0,1,1,1,0,1,1,0,18
13,0,0,0,1,0,1,1,1,1,1,1,1,0,12
14,0,0,0,0,0,0,1,0,1,1,1,1,1,575
15,0,0,0,1,0,0,1,1,1,1,1,1,1,859
16,0,0,0,0,0,0,1,1,1,1,1,1,0,1250
17,0,0,0,1,0,0,1,1,1,1,0,1,1,130
18,0,0,0,0,0,0,0,1,1,1,1,1,1,676
19,0,0,1,1,0,0,1,1,1,1,1,1,1,127
20,1,0,0,0,0,0,0,1,1,1,1,1,1,471
21,0,0,0,0,1,1,1,1,1,1,1,0,1,192
22,0,1,1,0,0,0,1,1,0,1,1,1,1,348
23,0,0,1,0,0,0,1,1,0,1,1,1,1,110
24,0,0,1,0,0,0,1,1,1,1,1,1,0,29
25,0,0,1,0,0,0,1,1,1,0,1,1,1,134
26,0,0,0,1,1,0,1,1,1,1,0,1,1,348
27,0,0,0,0,0,0,1,1,1,1,0,1,1,315
28,0,0,1,0,0,1,1,1,1,0,1,1,0,3
29,0,0,0,1,0,0,1,1,1,0,0,1,1,54
30,0,1,0,0,0,1,1,1,1,1,1,1,1,10
31,1,0,0,0,0,1,1,1,1,1,1,1,1,28
32,1,1,0,0,0,0,0,0,1,0,1,1,1,1
33,0,0,1,1,0,0,1,1,1,1,1,1,0,8
34,1,0,0,1,1,0,0,1,1,1,0,1,1,2
35,0,1,0,0,0,0,1,1,0,1,1,1,1,83
36,0,0,0,0,0,0,1,0,0,1,1,1,1,27
37,1,1,1,0,0,0,0,0,1,1,1,1,1,2
38,0,0,0,0,0,0,1,1,1,0,1,1,1,444
39,1,0,0,0,0,0,1,0,1,1,1,1,1,137
40,1,0,0,0,1,0,1,0,1,1,1,1,1,2
41,1,0,0,0,0,0,0,0,1,1,1,1,1,29
42,0,0,0,1,0,0,1,0,1,1,1,1,1,22
43,0,0,0,0,0,0,0,1,1,0,1,1,1,11
44,0,0,1,0,0,0,0,1,1,1,1,1,1,11
45,1,1,0,0,0,0,1,0,0,1,1,1,1,26
46,1,1,0,0,0,0,1,1,1,1,1,1,1,65
47,0,0,1,1,0,0,1,1,1,0,1,1,1,401
48,0,0,0,0,0,1,1,1,0,1,1,1,1,30
49,0,0,0,0,0,1,1,0,1,1,1,1,0,7
50,0,0,0,1,1,0,0,1,1,1,0,1,1,6
51,0,1,0,0,0,0,1,1,1,1,0,1,1,9
52,0,0,1,0,0,0,1,1,1,1,0,1,1,5
53,1,1,0,0,0,0,1,1,0,1,1,1,1,7
54,0,0,0,1,0,0,1,1,1,0,1,1,1,115
55,0,0,0,0,0,1,1,1,1,1,1,0,0,107
56,0,0,0,1,0,0,1,1,0,1,1,1,1,28
57,0,0,1,0,0,0,1,1,0,0,1,1,1,26
58,0,1,0,0,0,0,1,0,0,1,1,1,1,8
59,0,0,0,0,1,0,1,1,1,1,1,0,1,77
60,0,1,0,0,0,0,0,0,1,1,1,1,1,4
61,0,1,0,0,0,0,1,1,1,0,1,1,0,2
62,0,0,0,0,0,0,0,0,1,1,1,1,1,15
63,0,0,0,0,0,0,1,1,1,1,0,0,1,5
64,0,0,0,0,1,1,1,1,1,1,1,1,1,10
65,0,1,0,1,0,0,1,1,1,1,1,1,1,6
66,1,0,0,0,0,0,1,1,0,1,1,1,1,38
67,1,0,0,0,0,0,0,1,1,1,1,0,1,8
68,1,0,0,0,0,0,1,1,1,1,1,1,0,31
69,0,0,0,1,1,0,1,1,1,0,1,1,1,3
70,1,0,0,0,0,0,1,1,1,1,0,1,1,18
71,0,0,1,1,0,0,1,1,1,0,1,1,0,17
72,1,1,0,1,0,0,1,0,1,1,1,1,1,8
73,0,0,0,1,0,0,0,1,1,1,1,1,1,21
74,0,0,0,0,1,0,1,1,1,1,0,1,1,22
75,0,1,0,1,0,0,1,1,0,0,1,1,1,6
76,0,0,0,0,0,0,0,1,1,1,1,0,1,9
77,0,0,1,0,0,0,1,0,1,1,1,1,1,15
78,0,0,1,0,0,1,1,1,0,1,1,1,1,2
79,0,1,0,0,0,0,1,0,1,1,1,1,1,54
80,0,0,1,1,0,0,1,0,1,0,1,1,1,8
81,0,0,0,1,0,0,1,0,0,1,1,1,1,2
82,0,0,0,0,0,0,1,1,1,1,1,0,0,12
83,1,0,0,0,0,0,1,0,1,1,0,1,1,1
84,1,0,0,1,0,0,1,1,1,1,1,1,1,23
85,0,0,0,0,1,0,1,0,1,1,1,1,0,1
86,0,0,1,1,0,0,1,1,0,0,1,1,1,18
87,0,0,0,0,1,1,1,1,1,1,1,0,0,26
88,1,1,0,0,0,0,0,0,1,1,1,1,1,13
89,1,0,0,0,0,0,0,1,1,0,1,1,1,9
90,0,0,1,0,1,0,1,1,1,1,0,1,1,3
91,1,0,1,0,0,0,0,1,1,1,1,1,1,15
92,1,1,0,0,0,1,1,0,1,1,1,1,1,14
93,0,0,0,0,0,0,1,1,0,1,0,1,1,7
94,0,0,0,0,0,1,1,1,1,0,1,1,1,8
95,0,0,0,0,0,1,1,0,1,1,1,1,1,13
96,0,0,0,0,0,0,1,1,1,1,0,1,0,9
97,0,0,0,1,0,0,0,1,1,1,0,1,1,1
98,0,0,0,0,0,0,0,1,0,1,1,1,1,19
99,1,0,0,1,0,0,0,1,1,0,0,1,1,2
