,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,Data,Data,Data,Data,num
,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,6,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29894
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,242
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,568
4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,254
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,676
6,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,375
7,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,3
8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,326
9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,520
10,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,473
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,380
13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,651
14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321
15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,95
16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,562
17,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1
18,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,283
19,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,359
20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,157
21,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,4
22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,795
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,560
24,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2
25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,948
26,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16
27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302
28,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,6
29,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
30,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6
31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,450
32,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,553
34,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,383
35,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,2
36,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,402
37,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,31
38,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,101
39,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,18
40,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,263
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,298
42,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,10
43,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13
44,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
45,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
46,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3
48,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2
49,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,12
50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161
51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,98
52,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,15
53,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,17
54,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6
55,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,135
56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,247
57,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,112
58,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
59,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,329
60,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
61,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,48
62,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,8
63,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39
64,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,37
65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12
66,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,17
