,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,Data,Data,Data,Data,num
,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,8,simulation num
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29845
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1414
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713
5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,627
6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,4
7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,577
8,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,468
10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,379
11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,291
12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3
13,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,471
14,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,539
15,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,323
16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,713
17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,76
18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,414
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1076
20,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3
21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,355
22,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,292
23,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,63
24,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,77
25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4
26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,419
27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,46
28,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,10
29,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
30,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,19
31,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1460
32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,218
33,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,214
34,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,247
35,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,31
36,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,69
37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,595
38,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1
