,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,Data,Data,Data,Data,num
,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,8,simulation num
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,27776
1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,5
2,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,13
3,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1342
4,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,161
5,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,24
6,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,456
7,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1971
8,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,90
9,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,2
10,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,312
11,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,928
12,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,6
13,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,937
14,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,132
15,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,381
16,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1
17,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,439
18,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,311
19,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1
20,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,16
21,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,721
22,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,384
23,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,585
24,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,19
25,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,3
26,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,451
27,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,11
28,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,20
29,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,23
30,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,6
31,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,19
32,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,392
33,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,14
34,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1010
35,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,488
36,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,10
37,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2
38,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,180
39,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,3
40,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,39
41,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1
42,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,84
43,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,247
44,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,64
45,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,21
46,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1
47,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,7
48,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,8
49,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,26
50,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,565
51,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,291
