,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,Data,Data,Data,Data,num
,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,8,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32687
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,559
2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1586
3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,849
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,356
5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1064
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,199
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,80
8,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,373
10,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,518
11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,270
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700
13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,265
14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,753
15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7
16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073
17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,361
19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,49
20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417
21,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,33
22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,254
23,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,110
24,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,370
25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3
26,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,79
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,254
28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,700
29,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,402
30,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
31,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,6
32,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31
33,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1
34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,265
35,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49
36,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,73
37,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
38,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,147
39,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,179
40,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,379
41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,296
42,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,140
43,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,12
44,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,5
45,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,7
46,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6
47,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,256
48,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
49,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,326
50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,73
